Frame ID,Altitude [m],Baseline - x [m],Baseline - xyz [m],Baseline - y [m],Baseline - z [m],Coverage,Depth variation [m],Failure,Fraction estimated px,Fraction inliers (error <= 1%),Fraction outliers (error > 1%),Max abs. error [m],Mean G.T. relative error,Median abs. error [m],Motion angle [deg],Outliers / inliers,RMSE [m],Runtime [ms]
0,29.802,0.472419,3.65972,0.0917454,3.62794,-1,2.56504,1,-1,-1,-1,-1,-1,-1,82.4439,-1,-1,127
1,30.6481,0.520468,4.08618,0.070404,4.05229,0.836559,3.44638,0,0.364311,0.438891,0.561109,632.418,0.0484106,0.466238,82.6152,1.27847,16.7353,136
2,28.0682,0.075625,1.74789,0.0169699,1.74617,0.476525,2.70879,0,0.0730548,0.122841,0.877159,234.756,0.167139,1.61744,87.4585,7.14063,11.2513,135
3,19.0813,0.304209,3.25434,0.2345,3.23159,-1,1.91122,1,-1,-1,-1,-1,-1,-1,83.2217,-1,-1,127
4,23.1122,0.412304,3.70119,0.106463,3.67661,0.60003,1.41454,0,0.129829,0.250571,0.749429,27.3562,0.0687897,0.525726,83.3934,2.99088,5.60794,119
5,16.4638,0.347814,3.8174,0.447562,3.77509,-1,1.59417,1,-1,-1,-1,-1,-1,-1,81.461,-1,-1,133
6,18.0712,0.13454,2.23138,0.0672483,2.2263,-1,1.64666,1,-1,-1,-1,-1,-1,-1,86.1349,-1,-1,132
7,21.729,0.557724,3.80213,0.221733,3.75446,-1,0.962283,1,-1,-1,-1,-1,-1,-1,80.9176,-1,-1,128
8,15.3166,0.495715,3.6444,0.33245,3.59519,0.834002,1.46283,0,0.235065,0.39231,0.60769,19.724,0.038842,0.225189,80.5737,1.54901,1.85084,131
9,31.3163,0.42908,3.03067,0.212158,2.99263,-1,2.53948,1,-1,-1,-1,-1,-1,-1,80.9126,-1,-1,130
10,32.7783,0.291452,3.83714,0.254599,3.81758,-1,2.40623,1,-1,-1,-1,-1,-1,-1,84.2116,-1,-1,136
11,24.41,0.0465959,1.4044,0.222545,1.38587,-1,2.11709,1,-1,-1,-1,-1,-1,-1,80.6829,-1,-1,125
12,22.6556,0.294468,2.62159,0.220587,2.59565,-1,0.920107,1,-1,-1,-1,-1,-1,-1,81.9322,-1,-1,133
13,17.4055,0.0789917,3.96025,0.316395,3.9468,-1,1.25692,1,-1,-1,-1,-1,-1,-1,85.2766,-1,-1,121
14,31.4043,0.277178,2.23194,0.124649,2.21115,-1,1.74034,1,-1,-1,-1,-1,-1,-1,82.1739,-1,-1,119
15,20.3447,0.0742347,3.97851,0.32755,3.96431,-1,2.3829,1,-1,-1,-1,-1,-1,-1,85.1575,-1,-1,122
16,32.9659,0.18612,4.06505,0.410242,4.04001,0.414447,2.83676,0,0.217929,0.170705,0.829295,426.661,0.102849,1.06891,83.6374,4.85807,18.9328,134
17,30.6674,0.248668,2.53584,0.035951,2.52337,-1,3.04014,1,-1,-1,-1,-1,-1,-1,84.3138,-1,-1,127
18,12.3373,0.192017,4.06652,0.373529,4.04477,-1,0.712577,1,-1,-1,-1,-1,-1,-1,84.0719,-1,-1,130
19,17.2974,0.410134,3.71403,0.0842175,3.69036,-1,2.72751,1,-1,-1,-1,-1,-1,-1,83.5271,-1,-1,128
20,10.6703,0.128267,3.84061,0.173243,3.83455,-1,1.20926,1,-1,-1,-1,-1,-1,-1,86.7825,-1,-1,127
21,16.5174,0.331381,4.0881,0.0944874,4.07355,-1,0.732467,1,-1,-1,-1,-1,-1,-1,85.1648,-1,-1,125
22,16.3647,0.303056,3.48518,0.294271,3.45949,-1,2.13969,1,-1,-1,-1,-1,-1,-1,83.0384,-1,-1,128
23,19.9534,0.396958,2.59569,0.0813528,2.56387,-1,1.46255,1,-1,-1,-1,-1,-1,-1,81.0189,-1,-1,133
24,33.3095,0.158049,3.25899,0.179232,3.25022,-1,4.36985,1,-1,-1,-1,-1,-1,-1,85.795,-1,-1,118
25,32.589,0.230624,2.183,0.283199,2.15223,-1,2.8765,1,-1,-1,-1,-1,-1,-1,80.3689,-1,-1,122
26,32.6775,0.324472,3.84737,0.266905,3.82436,-1,1.93596,1,-1,-1,-1,-1,-1,-1,83.7306,-1,-1,124
27,32.0028,0.559588,3.9721,0.168866,3.92886,-1,3.73743,1,-1,-1,-1,-1,-1,-1,81.5379,-1,-1,126
28,14.4961,0.154834,3.58693,0.385361,3.56281,-1,1.0988,1,-1,-1,-1,-1,-1,-1,83.3513,-1,-1,131
29,11.2446,0.0316364,3.80405,0.280231,3.79358,-1,1.55982,1,-1,-1,-1,-1,-1,-1,85.7485,-1,-1,128
30,22.5533,0.11124,1.78665,0.0970524,1.78054,0.582432,2.21542,0,0.0503479,0.0637239,0.936276,26.7763,0.25705,0.877327,85.2604,14.6927,11.6365,126
31,27.3372,0.45515,2.93766,0.0976226,2.90054,-1,3.07604,1,-1,-1,-1,-1,-1,-1,80.8825,-1,-1,125
32,14.022,0.0347533,0.84675,0.0863908,0.841614,0.243559,0.910323,0,0.164777,0.190498,0.809502,77.1973,0.117059,0.491236,83.6863,4.24939,4.91203,138
33,29.7174,0.31904,3.67529,0.251477,3.65277,-1,2.80715,1,-1,-1,-1,-1,-1,-1,83.654,-1,-1,127
34,14.2724,0.586519,4.06856,0.223251,4.01986,-1,1.35991,1,-1,-1,-1,-1,-1,-1,81.1268,-1,-1,136
35,29.0419,0.048878,3.00497,0.0678073,3.0038,-1,2.07685,1,-1,-1,-1,-1,-1,-1,88.406,-1,-1,134
36,12.7315,0.0599644,3.80483,0.140348,3.80177,-1,1.03609,1,-1,-1,-1,-1,-1,-1,87.7011,-1,-1,134
37,32.4642,0.0793583,0.798877,0.0235797,0.794576,-1,3.50152,1,-1,-1,-1,-1,-1,-1,84.0518,-1,-1,134
38,19.4569,0.0192742,1.5469,0.217971,1.53134,-1,1.2314,1,-1,-1,-1,-1,-1,-1,81.8678,-1,-1,130
39,18.3115,0.336633,3.63856,0.427657,3.59762,-1,0.952632,1,-1,-1,-1,-1,-1,-1,81.3974,-1,-1,127
40,10.3135,0.2038,2.78452,0.120187,2.77445,0.681846,0.77539,0,0.332587,0.699161,0.300839,10.1058,0.0192742,0.0912544,85.1257,0.430286,1.00269,139
41,25.4245,0.531149,3.98285,0.054857,3.9469,0.419426,1.69623,0,0.207325,0.229112,0.770888,569.131,0.30004,0.668934,82.2953,3.36468,39.0174,136
42,11.7504,0.100062,1.6513,0.151465,1.6413,-1,0.93131,1,-1,-1,-1,-1,-1,-1,83.6886,-1,-1,135
43,11.7259,0.462436,3.11678,0.0828892,3.08117,-1,1.13868,1,-1,-1,-1,-1,-1,-1,81.3305,-1,-1,138
44,26.6462,0.173752,3.19961,0.279997,3.1826,-1,3.20518,1,-1,-1,-1,-1,-1,-1,84.0886,-1,-1,125
45,21.3114,0.0649107,1.52007,0.226506,1.5017,-1,1.92893,1,-1,-1,-1,-1,-1,-1,81.0828,-1,-1,128
46,13.9814,0.206549,1.4723,0.0607155,1.45648,-1,1.41533,1,-1,-1,-1,-1,-1,-1,81.5918,-1,-1,131
47,25.1912,0.0792454,3.06391,0.105137,3.06108,-1,1.22621,1,-1,-1,-1,-1,-1,-1,87.5372,-1,-1,130
48,26.9922,0.232654,2.25092,0.289352,2.22009,-1,2.063,1,-1,-1,-1,-1,-1,-1,80.5058,-1,-1,124
49,21.068,0.0341647,3.04402,0.146106,3.04032,-1,0.998475,1,-1,-1,-1,-1,-1,-1,87.1746,-1,-1,132
50,32.9696,0.158166,2.33113,0.100102,2.3236,-1,3.98083,1,-1,-1,-1,-1,-1,-1,85.3944,-1,-1,128
51,25.1041,0.466155,3.90905,0.368689,3.8636,0.3642,1.68032,0,0.0523285,0.180655,0.819345,128.124,0.24601,0.731108,81.2548,4.5354,22.2448,130
52,23.7262,0.0390424,3.25818,0.191197,3.25233,0.725823,1.5817,0,0.261839,0.371142,0.628858,118.467,0.0887052,0.419151,86.5663,1.69439,7.81235,136
53,31.8728,0.263421,2.9997,0.0170872,2.98806,-1,3.20407,1,-1,-1,-1,-1,-1,-1,84.9514,-1,-1,129
54,30.0553,0.380335,3.9118,0.16828,3.88963,-1,1.7523,1,-1,-1,-1,-1,-1,-1,83.8968,-1,-1,127
55,31.6994,0.4411,2.788,0.0891086,2.75144,-1,1.58153,1,-1,-1,-1,-1,-1,-1,80.7113,-1,-1,129
56,12.581,0.0284259,3.95064,0.655671,3.89575,-1,0.522423,1,-1,-1,-1,-1,-1,-1,80.4376,-1,-1,131
57,15.6147,0.0691301,3.75248,0.525322,3.71488,0.620529,1.11453,0,0.0998112,0.321465,0.678535,134.893,0.0912825,0.325403,81.8827,2.11076,4.79126,130
58,24.4862,0.154322,3.67499,0.317985,3.65795,0.400103,2.1575,0,0.152365,0.477629,0.522371,22.466,0.0557486,0.3251,84.4809,1.09368,4.5553,123
59,29.9083,0.287108,2.08804,0.210969,2.05742,-1,1.46481,1,-1,-1,-1,-1,-1,-1,80.1755,-1,-1,138
60,16.1432,0.637543,3.93646,0.0943387,3.88334,-1,1.04749,1,-1,-1,-1,-1,-1,-1,80.577,-1,-1,129
61,12.6327,0.153499,1.85791,0.0381251,1.85117,-1,1.37052,1,-1,-1,-1,-1,-1,-1,85.1165,-1,-1,135
62,9.83493,0.0747917,3.64235,0.252991,3.63278,-1,0.69897,1,-1,-1,-1,-1,-1,-1,85.8464,-1,-1,132
63,14.612,0.357334,3.00301,0.288067,2.96773,0.275454,1.04302,0,0.0792627,0.179681,0.820319,338.66,0.166817,0.775135,81.2083,4.56541,11.7042,141
64,27.3986,0.179281,1.2701,0.0419762,1.25668,0.298338,3.48454,0,0.241267,0.0871279,0.912872,114.445,0.092155,1.09934,81.6643,10.4774,6.79089,132
65,13.1341,0.12266,2.49634,0.103759,2.49116,0.214248,0.766446,0,0.0611945,0.255032,0.744968,13.2275,0.120282,0.366368,86.31,2.92107,3.73093,134
66,25.7488,0.590259,3.90852,0.157863,3.86047,-1,1.03836,1,-1,-1,-1,-1,-1,-1,81.0063,-1,-1,129
67,25.1741,0.019918,3.51744,0.596421,3.46645,0.545522,1.46889,0,0.155345,0.347864,0.652136,24.0811,0.0671634,0.433504,80.2322,1.87468,5.38663,136
68,17.1826,0.427946,3.30023,0.136345,3.26952,-1,1.50029,1,-1,-1,-1,-1,-1,-1,82.1781,-1,-1,135
