Altitude [m],5000,22.1302,7.12759,7.62909,15.8811,21.914,28.4497,35.9422
Baseline - x [m],5000,0.928216,0.819735,0.000202614,0.292411,0.674559,1.36035,2.96187
Baseline - xyz [m],5000,2.33956,1.01946,0.501587,1.46651,2.3598,3.2363,4.18525
Baseline - y [m],5000,0.940615,0.830879,6.62968e-05,0.292255,0.679405,1.36168,2.96503
Baseline - z [m],5000,1.51076,1.05929,0.000285192,0.61166,1.30937,2.30749,4.07355
Coverage,1771,0.453978,0.192004,0.0588067,0.306434,0.449651,0.596205,0.95074
Depth variation [m],5000,1.86387,0.805112,0.256731,1.23929,1.7241,2.39037,4.10538
Failure,5000,0.6458,0.478318,0,0,1,1,1
Fraction estimated px,1771,0.180155,0.126297,0.050008,0.084587,0.138783,0.23806,0.466625
Fraction inliers (error <= 1%),1771,0.280858,0.174499,0,0.141563,0.255826,0.394518,0.771673
Fraction outliers (error > 1%),1771,0.719142,0.174499,0.228327,0.605482,0.744174,0.858437,1
Max abs. error [m],1771,174.071,195.537,0.498837,25.6907,80.3909,295.026,692.607
Mean G.T. relative error,1771,0.208738,0.561303,0.00758198,0.0434984,0.0974746,0.205871,0.448091
Median abs. error [m],1771,1.83293,7.92194,0.0472455,0.314111,0.569891,1.17851,2.47386
Motion angle [deg],5000,44.5785,25.5917,0.016674,22.5973,44.2031,67.3203,89.7447
Outliers / inliers,1771,inf,-nan,0.0519862,1.53474,2.90891,6.06402,12.7712
RMSE [m],1771,13.56,20.0776,0.101619,3.1845,7.78532,16.2487,35.7891
Runtime [ms],1771,133.361,5.16839,120,130,133,137,147
