Altitude [m],5000,22.1302,7.12759,7.62909,15.8811,21.914,28.4497,35.9422
Baseline - x [m],5000,0.928216,0.819735,0.000202614,0.292411,0.674559,1.36035,2.96187
Baseline - xyz [m],5000,2.33956,1.01946,0.501587,1.46651,2.3598,3.2363,4.18525
Baseline - y [m],5000,0.940615,0.830879,6.62968e-05,0.292255,0.679405,1.36168,2.96503
Baseline - z [m],5000,1.51076,1.05929,0.000285192,0.61166,1.30937,2.30749,4.07355
Coverage,1789,0.455773,0.19346,0.0546654,0.308845,0.453279,0.595061,0.934043
Depth variation [m],5000,1.86387,0.805112,0.256731,1.23929,1.7241,2.39037,4.10538
Failure,5000,0.6422,0.479401,0,0,1,1,1
Fraction estimated px,1789,0.181718,0.12668,0.0501202,0.0853273,0.14448,0.236029,0.461874
Fraction inliers (error <= 1%),1789,0.238253,0.165467,0,0.109777,0.202013,0.340804,0.686638
Fraction outliers (error > 1%),1789,0.761747,0.165467,0.313362,0.659196,0.797987,0.890223,1
Max abs. error [m],1789,179.347,200.964,0.920861,26.573,77.7481,296.29,698.6
Mean G.T. relative error,1789,0.215312,0.673562,0.00430529,0.0486104,0.101373,0.212055,0.453586
Median abs. error [m],1789,2.03848,9.20326,0.0341289,0.358179,0.677964,1.33004,2.7692
Motion angle [deg],5000,44.5785,25.5917,0.016674,22.5973,44.2031,67.3203,89.7447
Outliers / inliers,1789,inf,-nan,0.0223709,1.93424,3.95017,8.10942,17.3288
RMSE [m],1789,13.6623,20.6346,0.10524,3.20987,7.93607,16.4328,36.1474
Runtime [ms],1789,134.359,7.06101,120,130,134,137,147
