Altitude [m],5000,22.1302,7.12759,7.62909,15.8811,21.914,28.4497,35.9422
Baseline - x [m],5000,0.928216,0.819735,0.000202614,0.292411,0.674559,1.36035,2.96187
Baseline - xyz [m],5000,2.33956,1.01946,0.501587,1.46651,2.3598,3.2363,4.18525
Baseline - y [m],5000,0.940615,0.830879,6.62968e-05,0.292255,0.679405,1.36168,2.96503
Baseline - z [m],5000,1.51076,1.05929,0.000285192,0.61166,1.30937,2.30749,4.07355
Coverage,2115,0.48332,0.196939,0.063636,0.329205,0.488374,0.629568,0.989608
Depth variation [m],5000,1.86387,0.805112,0.256731,1.23929,1.7241,2.39037,4.10538
Failure,5000,0.577,0.494085,0,0,1,1,1
Fraction estimated px,2115,0.209135,0.147582,0.0501377,0.0950665,0.165513,0.282287,0.560757
Fraction inliers (error <= 1%),2115,0.321585,0.179359,0,0.177336,0.308014,0.445736,0.845794
Fraction outliers (error > 1%),2115,0.678415,0.179359,0.154206,0.554264,0.691986,0.822664,1
Max abs. error [m],2115,176.712,198.559,0.449513,24.9357,79.5192,291.274,686.137
Mean G.T. relative error,2115,0.180194,0.57035,0.00576709,0.0366401,0.0848813,0.17372,0.376772
Median abs. error [m],2115,1.41848,6.05977,0.0370015,0.273609,0.494941,0.977492,2.02526
Motion angle [deg],5000,44.5785,25.5917,0.016674,22.5973,44.2031,67.3203,89.7447
Outliers / inliers,2115,inf,-nan,0.0535363,1.24348,2.24661,4.63901,9.72468
RMSE [m],2115,12.3137,17.8419,0.0912748,2.81515,7.19115,15.1077,33.5414
Runtime [ms],2115,133.554,4.91588,120,130,133,137,147
