Frame ID,Altitude [m],Baseline - x [m],Baseline - xyz [m],Baseline - y [m],Baseline - z [m],Coverage,Depth variation [m],Failure,Fraction estimated px,Fraction inliers (error <= 1%),Fraction outliers (error > 1%),Max abs. error [m],Mean G.T. relative error,Median abs. error [m],Motion angle [deg],Outliers / inliers,RMSE [m],Runtime [ms]
0,29.802,0.472419,3.65972,0.0917454,3.62794,0.907662,2.56504,0,0.577088,0.192625,0.807375,16.8696,0.0730843,1.21176,82.4439,4.19143,4.34468,106
1,30.6481,0.520468,4.08618,0.070404,4.05229,0.933886,3.44638,0,0.614722,0.220901,0.779099,27.9835,0.112888,1.39817,82.6152,3.52692,7.34191,141
2,28.0682,0.075625,1.74789,0.0169699,1.74617,0.905433,2.70879,0,0.640109,0.144218,0.855782,19.2035,0.0693881,1.21811,87.4585,5.93395,3.47617,109
3,19.0813,0.304209,3.25434,0.2345,3.23159,0.953375,1.91122,0,0.64186,0.342347,0.657653,13.5628,0.0717253,0.372014,83.2217,1.92101,2.82934,145
4,23.1122,0.412304,3.70119,0.106463,3.67661,0.93464,1.41454,0,0.608077,0.205905,0.794095,13.9255,0.0880637,1.00425,83.3934,3.85662,4.40671,144
5,16.4638,0.347814,3.8174,0.447562,3.77509,0.896142,1.59417,0,0.58407,0.342126,0.657874,12.0196,0.0988241,0.419453,81.461,1.9229,3.76537,158
6,18.0712,0.13454,2.23138,0.0672483,2.2263,0.903154,1.64666,0,0.580041,0.234635,0.765365,13.7795,0.0638919,0.503088,86.1349,3.26194,2.29092,136
7,21.729,0.557724,3.80213,0.221733,3.75446,0.937455,0.962283,0,0.625433,0.374312,0.625688,9.32913,0.0368866,0.392442,80.9176,1.67157,1.49638,126
8,15.3166,0.495715,3.6444,0.33245,3.59519,0.940074,1.46283,0,0.581726,0.234004,0.765996,9.64356,0.114359,1.46202,80.5737,3.27342,2.89781,152
9,31.3163,0.42908,3.03067,0.212158,2.99263,0.945175,2.53948,0,0.648013,0.191578,0.808422,16.8568,0.0651797,1.14185,80.9126,4.21982,3.75454,112
10,32.7783,0.291452,3.83714,0.254599,3.81758,0.899525,2.40623,0,0.612024,0.216482,0.783518,16.81,0.0549858,0.95946,84.2116,3.61932,3.30624,118
11,24.41,0.0465959,1.4044,0.222545,1.38587,0.902548,2.11709,0,0.597992,0.118658,0.881342,15.785,0.0855903,1.39293,80.6829,7.42759,3.30785,115
12,22.6556,0.294468,2.62159,0.220587,2.59565,0.932881,0.920107,0,0.673449,0.305272,0.694728,6.69892,0.0291685,0.470634,81.9322,2.27577,1.17764,127
13,17.4055,0.0789917,3.96025,0.316395,3.9468,0.89873,1.25692,0,0.589616,0.351741,0.648259,11.1848,0.0942642,0.506796,85.2766,1.843,3.66778,143
14,31.4043,0.277178,2.23194,0.124649,2.21115,0.90687,1.74034,0,0.599712,0.127803,0.872197,13.1949,0.0674432,1.71495,82.1739,6.82455,3.58821,123
15,20.3447,0.0742347,3.97851,0.32755,3.96431,0.923625,2.3829,0,0.587469,0.234967,0.765033,17.1786,0.135866,1.2589,85.1575,3.25591,5.65822,188
16,32.9659,0.18612,4.06505,0.410242,4.04001,0.956268,2.83676,0,0.648163,0.220646,0.779354,22.0015,0.0647512,1.0048,83.6374,3.53215,4.24255,118
17,30.6674,0.248668,2.53584,0.035951,2.52337,0.938249,3.04014,0,0.590956,0.14181,0.85819,22.9255,0.0901865,1.74877,84.3138,6.05167,5.50307,121
18,12.3373,0.192017,4.06652,0.373529,4.04477,0.902719,0.712577,0,0.50331,0.159238,0.840762,9.72114,0.189907,3.54705,84.0719,5.27992,4.22584,187
19,17.2974,0.410134,3.71403,0.0842175,3.69036,0.91467,2.72751,0,0.577538,0.290182,0.709818,19.8211,0.145719,0.76977,83.5271,2.44611,4.09411,165
20,10.6703,0.128267,3.84061,0.173243,3.83455,0.920047,1.20926,0,0.555118,0.20973,0.79027,8.73704,0.173075,1.87695,86.7825,3.76803,3.79869,153
21,16.5174,0.331381,4.0881,0.0944874,4.07355,0.979957,0.732467,0,0.60421,0.287126,0.712874,6.39768,0.0529631,0.519482,85.1648,2.48279,1.45983,141
22,16.3647,0.303056,3.48518,0.294271,3.45949,0.89823,2.13969,0,0.54721,0.168745,0.831255,14.0836,0.173828,2.73274,83.0384,4.92611,5.32812,175
23,19.9534,0.396958,2.59569,0.0813528,2.56387,0.947282,1.46255,0,0.619387,0.225915,0.774085,11.1032,0.0684817,0.661314,81.0189,3.42644,2.52459,111
24,33.3095,0.158049,3.25899,0.179232,3.25022,0.917843,4.36985,0,0.603586,0.172506,0.827494,31.4078,0.115074,1.52441,85.795,4.79691,6.96213,118
25,32.589,0.230624,2.183,0.283199,2.15223,0.9131,2.8765,0,0.612552,0.10985,0.89015,22.2905,0.0827829,1.8555,80.3689,8.10333,4.34128,101
26,32.6775,0.324472,3.84737,0.266905,3.82436,0.9275,1.93596,0,0.612594,0.204534,0.795466,14.4485,0.0519076,1.07268,83.7306,3.88915,2.89814,106
27,32.0028,0.559588,3.9721,0.168866,3.92886,0.926146,3.73743,0,0.618474,0.262812,0.737188,25.9752,0.0878943,0.855709,81.5379,2.80499,5.29592,122
28,14.4961,0.154834,3.58693,0.385361,3.56281,0.934713,1.0988,0,0.560295,0.19882,0.80118,8.32887,0.0976557,1.11924,83.3513,4.02967,2.24215,126
29,11.2446,0.0316364,3.80405,0.280231,3.79358,0.898765,1.55982,0,0.514834,0.144045,0.855955,11.0665,0.2258,3.51649,85.7485,5.94228,4.8074,177
30,22.5533,0.11124,1.78665,0.0970524,1.78054,0.914458,2.21542,0,0.585507,0.169726,0.830274,15.4859,0.0711397,0.87924,85.2604,4.89185,2.98661,107
31,27.3372,0.45515,2.93766,0.0976226,2.90054,0.917045,3.07604,0,0.585541,0.1354,0.8646,19.0222,0.115749,1.8409,80.8825,6.38554,5.80445,119
32,14.022,0.0347533,0.84675,0.0863908,0.841614,0.915831,0.910323,0,0.639176,0.148897,0.851103,6.7491,0.06305,0.716105,83.6863,5.71605,1.43694,106
33,29.7174,0.31904,3.67529,0.251477,3.65277,0.942089,2.80715,0,0.620507,0.209889,0.790111,21.0082,0.0891025,1.25174,83.654,3.76443,5.71878,132
34,14.2724,0.586519,4.06856,0.223251,4.01986,0.964795,1.35991,0,0.594248,0.276549,0.723451,12.5423,0.151124,2.19383,81.1268,2.616,4.44278,171
35,29.0419,0.048878,3.00497,0.0678073,3.0038,0.911856,2.07685,0,0.606926,0.203154,0.796846,14.7241,0.0609694,0.999524,88.406,3.92237,3.09982,102
36,12.7315,0.0599644,3.80483,0.140348,3.80177,0.894395,1.03609,0,0.540516,0.25826,0.74174,9.69714,0.136868,1.73716,87.7011,2.87206,3.63712,116
37,32.4642,0.0793583,0.798877,0.0235797,0.794576,0.892759,3.50152,0,0.516994,0.0428401,0.95716,24.6762,0.162072,5.16304,84.0518,22.3426,7.5329,94
38,19.4569,0.0192742,1.5469,0.217971,1.53134,0.898563,1.2314,0,0.643004,0.1554,0.8446,11.1662,0.0590342,0.794119,81.8678,5.43501,2.24025,94
39,18.3115,0.336633,3.63856,0.427657,3.59762,0.927323,0.952632,0,0.573872,0.1119,0.8881,8.82689,0.112721,1.73561,81.3974,7.93653,3.70312,133
40,10.3135,0.2038,2.78452,0.120187,2.77445,0.977886,0.77539,0,0.550475,0.0730714,0.926929,7.28026,0.19025,2.94678,85.1257,12.6852,3.44483,132
41,25.4245,0.531149,3.98285,0.054857,3.9469,0.927658,1.69623,0,0.623568,0.301828,0.698172,11.5433,0.0535363,0.584465,82.2953,2.31314,2.64859,123
42,11.7504,0.100062,1.6513,0.151465,1.6413,0.926151,0.93131,0,0.662617,0.370548,0.629452,8.25688,0.047734,0.226743,83.6886,1.69871,1.48973,120
43,11.7259,0.462436,3.11678,0.0828892,3.08117,0.897188,1.13868,0,0.546995,0.227641,0.772359,9.20362,0.154252,1.79161,81.3305,3.39289,3.5311,134
44,26.6462,0.173752,3.19961,0.279997,3.1826,0.945467,3.20518,0,0.619797,0.191335,0.808665,24.2017,0.114836,1.28898,84.0886,4.22644,6.61722,136
45,21.3114,0.0649107,1.52007,0.226506,1.5017,0.899848,1.92893,0,0.616588,0.161222,0.838778,12.9054,0.0695573,0.911128,81.0828,5.20264,2.88221,111
46,13.9814,0.206549,1.4723,0.0607155,1.45648,0.931675,1.41533,0,0.653316,0.250179,0.749821,9.18645,0.0624071,0.373457,81.5918,2.99714,1.78432,121
47,25.1912,0.0792454,3.06391,0.105137,3.06108,0.9153,1.22621,0,0.637596,0.313521,0.686479,11.5628,0.0366833,0.532363,87.5372,2.18958,1.7906,110
48,26.9922,0.232654,2.25092,0.289352,2.22009,0.919993,2.063,0,0.616802,0.158841,0.841159,19.7559,0.0803929,1.30073,80.5058,5.29561,4.43364,113
49,21.068,0.0341647,3.04402,0.146106,3.04032,0.905721,0.998475,0,0.623087,0.221156,0.778844,13.2665,0.0679545,0.716433,87.1746,3.52169,3.26427,114
50,32.9696,0.158166,2.33113,0.100102,2.3236,0.913579,3.98083,0,0.604667,0.0988419,0.901158,23.6028,0.108004,2.30281,85.3944,9.11717,6.44213,114
51,25.1041,0.466155,3.90905,0.368689,3.8636,0.926739,1.68032,0,0.580213,0.243345,0.756655,10.7582,0.0572023,0.696056,81.2548,3.10939,2.71121,129
52,23.7262,0.0390424,3.25818,0.191197,3.25233,0.990541,1.5817,0,0.672141,0.262226,0.737774,14.7607,0.0508691,0.611835,86.5663,2.81351,2.35528,130
53,31.8728,0.263421,2.9997,0.0170872,2.98806,0.895658,3.20407,0,0.595849,0.141332,0.858668,18.8404,0.0926187,1.73157,84.9514,6.07552,5.47051,112
54,30.0553,0.380335,3.9118,0.16828,3.88963,0.91977,1.7523,0,0.619575,0.252191,0.747809,11.1151,0.0475327,0.794852,83.8968,2.96524,2.64018,115
55,31.6994,0.4411,2.788,0.0891086,2.75144,0.909297,1.58153,0,0.608327,0.217538,0.782462,10.2222,0.0449826,1.02552,80.7113,3.59691,2.36634,99
56,12.581,0.0284259,3.95064,0.655671,3.89575,0.877118,0.522423,0,0.508731,0.22147,0.77853,9.64437,0.153618,2.9128,80.4376,3.51529,3.5388,120
57,15.6147,0.0691301,3.75248,0.525322,3.71488,0.900883,1.11453,0,0.612451,0.442295,0.557705,8.26231,0.0495975,0.204424,81.8827,1.26093,1.53332,138
58,24.4862,0.154322,3.67499,0.317985,3.65795,0.941221,2.1575,0,0.59281,0.16867,0.83133,18.3981,0.114158,1.63182,84.4809,4.92875,5.65475,124
59,29.9083,0.287108,2.08804,0.210969,2.05742,0.924014,1.46481,0,0.636169,0.136031,0.863969,13.015,0.0525248,1.43919,80.1755,6.35128,2.57905,106
60,16.1432,0.637543,3.93646,0.0943387,3.88334,0.925648,1.04749,0,0.588243,0.328307,0.671693,6.93143,0.0660704,0.410363,80.577,2.04593,1.99372,126
61,12.6327,0.153499,1.85791,0.0381251,1.85117,0.917012,1.37052,0,0.647857,0.334783,0.665217,10.2525,0.0675842,0.238925,85.1165,1.98701,1.83672,135
62,9.83493,0.0747917,3.64235,0.252991,3.63278,0.84138,0.69897,0,0.498836,0.232968,0.767032,7.29973,0.177593,2.7669,85.8464,3.29243,3.37614,145
63,14.612,0.357334,3.00301,0.288067,2.96773,0.941913,1.04302,0,0.624546,0.318873,0.681127,8.12371,0.0847353,0.408167,81.2083,2.13604,2.76804,139
64,27.3986,0.179281,1.2701,0.0419762,1.25668,0.928983,3.48454,0,0.659419,0.115528,0.884472,26.5128,0.0966988,1.61528,81.6643,7.65588,5.171,131
65,13.1341,0.12266,2.49634,0.103759,2.49116,0.912134,0.766446,0,0.612527,0.369885,0.630115,5.99541,0.0446355,0.237893,86.31,1.70354,1.15219,121
66,25.7488,0.590259,3.90852,0.157863,3.86047,0.918946,1.03836,0,0.615442,0.188401,0.811599,13.1346,0.0719811,1.18212,81.0063,4.30782,3.7416,102
67,25.1741,0.019918,3.51744,0.596421,3.46645,0.909521,1.46889,0,0.618911,0.318252,0.681748,10.4015,0.0454281,0.546706,80.2322,2.14216,2.15808,110
68,17.1826,0.427946,3.30023,0.136345,3.26952,0.906914,1.50029,0,0.606654,0.29704,0.70296,12.0347,0.0995393,0.522045,82.1781,2.36655,3.82485,136
69,23.624,0.173966,3.1243,0.478616,3.08251,0.917632,1.44855,0,0.579669,0.191018,0.808982,13.3834,0.0828659,1.04695,80.6191,4.23512,4.0701,108
70,31.7853,0.381479,3.0677,0.212686,3.03645,0.925229,2.26474,0,0.597822,0.170028,0.829972,17.7811,0.0704817,1.38273,81.8147,4.88137,3.8574,105
71,30.1073,0.501481,3.91812,0.20946,3.88024,0.911267,1.93641,0,0.628313,0.319196,0.680804,15.2133,0.0440379,0.596852,82.027,2.13287,2.60746,108
72,32.7362,0.197065,2.8095,0.295415,2.78696,0.916055,3.02416,0,0.607116,0.17105,0.82895,19.5391,0.0753374,1.45119,82.7386,4.84623,4.9408,112
73,15.897,0.179562,2.96119,0.164083,2.95118,0.971888,1.24165,0,0.602178,0.210016,0.789984,12.1497,0.117261,1.07556,85.2883,3.76155,3.83319,133
74,21.8845,0.00972964,2.88683,0.17757,2.88135,0.932779,1.79076,0,0.632491,0.282126,0.717874,13.813,0.0623064,0.55437,86.4682,2.54451,2.78536,160
75,35.166,0.476387,2.93138,0.00658286,2.8924,0.915707,2.72909,0,0.578632,0.17228,0.82772,18.4963,0.0645905,1.40607,80.6463,4.8045,3.93431,128
76,20.1237,0.0821435,2.36695,0.181719,2.35853,0.918256,2.12102,0,0.610784,0.168424,0.831576,16.5595,0.0945773,0.839502,85.1669,4.93739,3.99794,136
77,22.9918,0.289281,4.05378,0.0866269,4.04252,0.932498,3.61984,0,0.595698,0.253147,0.746853,18.9677,0.152807,1.02784,85.728,2.95027,6.90697,171
78,22.6877,0.232873,2.404,0.20089,2.38424,0.942562,2.18263,0,0.662129,0.279948,0.720052,14.1183,0.0582472,0.526333,82.6499,2.57209,2.93793,129
79,15.4989,0.287414,3.55687,0.358563,3.52706,0.895478,1.99098,0,0.549334,0.262747,0.737253,13.2627,0.136964,0.629187,82.5768,2.80594,4.42433,164
80,26.0729,0.129158,3.36139,0.458541,3.32746,0.92363,2.94854,0,0.582472,0.209935,0.790065,21.7601,0.0863539,0.843521,81.8525,3.76339,4.22542,125
81,29.8648,0.07355,3.74617,0.618121,3.69409,0.924412,1.26774,0,0.597156,0.308486,0.691514,9.56701,0.0336702,0.65611,80.4351,2.24164,1.84073,105
82,17.9789,0.325386,2.5415,0.204444,2.51228,0.920763,1.13083,0,0.63598,0.332947,0.667053,9.68225,0.0507516,0.398948,81.3033,2.00348,2.23714,109
83,30.4855,0.163102,2.71515,0.298489,2.69376,0.939092,1.12725,0,0.639913,0.226328,0.773672,9.06035,0.0393645,0.963595,82.8033,3.41836,1.92831,107
84,14.3073,0.0743116,3.91779,0.213756,3.91125,0.960254,1.58763,0,0.61596,0.369735,0.630265,11.3027,0.133197,0.517282,86.6886,1.70464,4.25778,152
85,13.1147,0.04931,3.02528,0.203731,3.01801,0.906256,1.14939,0,0.552281,0.183164,0.816836,10.9799,0.143607,1.89782,86.0269,4.45958,3.63337,124
86,12.1492,0.195746,2.2789,0.247566,2.25694,0.944602,1.45365,0,0.586925,0.280068,0.719932,11.6089,0.126073,0.469901,82.0396,2.57057,3.3922,145
87,15.6952,0.318435,1.92058,0.00544128,1.89399,0.908749,1.52177,0,0.569007,0.179739,0.820261,10.4122,0.0834805,0.687866,80.4548,4.56363,2.67775,123
88,23.022,0.473052,3.2944,0.105081,3.25856,0.945385,1.81188,0,0.623671,0.240108,0.759892,14.6384,0.0670849,0.703609,81.5415,3.16479,2.9967,115
89,22.121,0.0902573,3.59587,0.0693288,3.59407,0.917428,1.87387,0,0.60443,0.270193,0.729807,11.296,0.0675085,0.580048,88.1863,2.70106,2.77478,120
90,13.1638,0.116927,2.15814,0.0600197,2.15413,0.971854,1.07673,0,0.666257,0.302,0.698,9.83137,0.0778877,0.337531,86.5085,2.31125,2.55367,123
91,17.0784,0.190332,1.70431,0.0187711,1.69354,0.91959,1.06469,0,0.641571,0.193316,0.806684,10.9503,0.0733083,0.67754,83.5568,4.17287,2.80547,110
92,14.7894,0.372422,3.62191,0.300075,3.5902,0.95528,1.57317,0,0.619011,0.32158,0.67842,11.3272,0.101179,0.44665,82.412,2.10965,2.58214,171
93,31.5492,0.0911008,1.47781,0.178151,1.4642,0.920103,2.59822,0,0.647027,0.133168,0.866832,18.9068,0.0738797,1.64119,82.2183,6.50929,3.90592,105
94,34.49,0.262492,2.64477,0.32631,2.6114,0.919238,1.71392,0,0.583473,0.173279,0.826721,11.2177,0.0500861,1.3323,80.8892,4.77104,2.72428,102
95,19.858,0.434767,2.60965,0.110326,2.57081,0.929047,1.61654,0,0.625816,0.269683,0.730317,15.4403,0.070278,0.571184,80.1028,2.70805,3.32073,117
96,14.4765,0.0148233,3.91679,0.452369,3.89055,0.927158,1.27739,0,0.557225,0.197687,0.802313,11.2344,0.159995,2.89739,83.3642,4.05849,4.46819,140
97,16.6483,0.128163,2.20832,0.112026,2.20175,0.915288,2.10127,0,0.630102,0.285054,0.714946,12.8784,0.090364,0.454651,85.5791,2.5081,3.45494,137
98,17.9224,0.222755,3.17404,0.418812,3.1384,0.915362,1.25589,0,0.603125,0.27709,0.72291,13.0558,0.0883577,0.585096,81.4048,2.60894,3.64013,124
