Frame ID,Altitude [m],Baseline - x [m],Baseline - xyz [m],Baseline - y [m],Baseline - z [m],Coverage,Depth variation [m],Failure,Fraction estimated px,Fraction inliers (error <= 1%),Fraction outliers (error > 1%),Max abs. error [m],Mean G.T. relative error,Median abs. error [m],Motion angle [deg],Outliers / inliers,RMSE [m],Runtime [ms]
0,29.802,0.472419,3.65972,0.0917454,3.62794,0.909321,2.56504,0,0.5843,0.172768,0.827232,17.0033,0.0756425,1.3027,82.4439,4.78811,4.41922,111
1,30.6481,0.520468,4.08618,0.070404,4.05229,0.935176,3.44638,0,0.612609,0.153574,0.846426,28.0631,0.115649,1.6312,82.6152,5.51152,7.38436,145
2,28.0682,0.075625,1.74789,0.0169699,1.74617,0.905221,2.70879,0,0.632888,0.113101,0.886899,19.2187,0.078123,1.50372,87.4585,7.84169,3.73131,108
3,19.0813,0.304209,3.25434,0.2345,3.23159,0.953474,1.91122,0,0.640191,0.265269,0.734731,13.5186,0.0731246,0.459876,83.2217,2.76975,2.83049,141
4,23.1122,0.412304,3.70119,0.106463,3.67661,0.935062,1.41454,0,0.626106,0.252027,0.747973,13.9818,0.0780635,0.745422,83.3934,2.96783,4.16771,108
5,16.4638,0.347814,3.8174,0.447562,3.77509,0.896642,1.59417,0,0.580362,0.189021,0.810979,11.9799,0.112806,0.687191,81.461,4.29041,3.96988,133
6,18.0712,0.13454,2.23138,0.0672483,2.2263,0.903159,1.64666,0,0.627039,0.280253,0.719747,13.5923,0.0612021,0.427404,86.1349,2.56821,2.24323,112
7,21.729,0.557724,3.80213,0.221733,3.75446,0.93751,0.962283,0,0.63729,0.310328,0.689672,9.32913,0.0316089,0.422136,80.9176,2.2224,1.28683,131
8,15.3166,0.495715,3.6444,0.33245,3.59519,0.940068,1.46283,0,0.615155,0.312559,0.687441,9.74572,0.0882648,0.418326,80.5737,2.1994,2.52917,175
9,31.3163,0.42908,3.03067,0.212158,2.99263,0.945345,2.53948,0,0.629901,0.160884,0.839116,16.7797,0.0745486,1.34317,80.9126,5.21566,4.13591,142
10,32.7783,0.291452,3.83714,0.254599,3.81758,0.899634,2.40623,0,0.558385,0.182105,0.817895,16.7772,0.0596887,1.16966,84.2116,4.49135,3.48757,111
11,24.41,0.0465959,1.4044,0.222545,1.38587,0.902636,2.11709,0,0.590236,0.129957,0.870043,15.9114,0.0768619,1.25738,80.6829,6.69486,3.04067,120
12,22.6556,0.294468,2.62159,0.220587,2.59565,0.932967,0.920107,0,0.630224,0.209674,0.790326,6.69114,0.0397096,0.689417,81.9322,3.76932,1.45213,104
13,17.4055,0.0789917,3.96025,0.316395,3.9468,0.899865,1.25692,0,0.574656,0.203997,0.796003,11.1913,0.104716,0.766854,85.2766,3.90203,3.84702,118
14,31.4043,0.277178,2.23194,0.124649,2.21115,0.907208,1.74034,0,0.613987,0.127776,0.872224,13.0613,0.0627723,1.66067,82.1739,6.82621,3.29748,98
15,20.3447,0.0742347,3.97851,0.32755,3.96431,0.922521,2.3829,0,0.565051,0.120687,0.879313,17.2385,0.167976,3.56204,85.1575,7.28588,6.31579,149
