Frame ID,Altitude [m],Baseline - x [m],Baseline - xyz [m],Baseline - y [m],Baseline - z [m],Coverage,Depth variation [m],Failure,Fraction estimated px,Fraction inliers (error <= 1%),Fraction outliers (error > 1%),Max abs. error [m],Mean G.T. relative error,Median abs. error [m],Motion angle [deg],Outliers / inliers,RMSE [m],Runtime [ms]
0,29.802,0.472419,3.65972,0.0917454,3.62794,0.907463,2.56504,0,0.70583,0.46362,0.53638,16.7587,0.0325516,0.413092,82.4439,1.15694,2.74323,145
1,30.6481,0.520468,4.08618,0.070404,4.05229,0.934276,3.44638,0,0.72729,0.551516,0.448484,27.8793,0.0428726,0.344373,82.6152,0.813184,4.28784,189
2,28.0682,0.075625,1.74789,0.0169699,1.74617,0.905842,2.70879,0,0.728165,0.322609,0.677391,19.2035,0.0336496,0.540503,87.4585,2.09973,2.10908,129
3,19.0813,0.304209,3.25434,0.2345,3.23159,0.953276,1.91122,0,0.733535,0.655176,0.344824,13.6203,0.0408024,0.131827,83.2217,0.526308,2.16309,154
4,23.1122,0.412304,3.70119,0.106463,3.67661,0.931557,1.41454,0,0.700377,0.454743,0.545257,13.9362,0.0542051,0.350309,83.3934,1.19904,3.58284,122
5,16.4638,0.347814,3.8174,0.447562,3.77509,0.896026,1.59417,0,0.660477,0.577113,0.422887,11.952,0.0613619,0.17211,81.461,0.732762,2.95619,134
6,18.0712,0.13454,2.23138,0.0672483,2.2263,0.903154,1.64666,0,0.718107,0.557532,0.442468,14.0083,0.0284144,0.173205,86.1349,0.793619,1.42,112
7,21.729,0.557724,3.80213,0.221733,3.75446,0.93744,0.962283,0,0.749534,0.729612,0.270388,9.32913,0.0137948,0.134424,80.9176,0.370591,0.827364,125
8,15.3166,0.495715,3.6444,0.33245,3.59519,0.940053,1.46283,0,0.685579,0.618161,0.381839,9.64356,0.0539924,0.106941,80.5737,0.617702,1.93413,165
9,31.3163,0.42908,3.03067,0.212158,2.99263,0.945477,2.53948,0,0.764064,0.490942,0.509058,16.8568,0.0260827,0.370223,80.9126,1.0369,2.15305,135
10,32.7783,0.291452,3.83714,0.254599,3.81758,0.899672,2.40623,0,0.702528,0.502207,0.497793,16.7585,0.0244511,0.363355,84.2116,0.991212,1.96045,123
11,24.41,0.0465959,1.4044,0.222545,1.38587,0.901416,2.11709,0,0.725263,0.306529,0.693471,16.086,0.0322869,0.48076,80.6829,2.26234,1.57725,112
12,22.6556,0.294468,2.62159,0.220587,2.59565,0.932985,0.920107,0,0.760409,0.585062,0.414938,6.58383,0.0146861,0.21152,81.9322,0.709221,0.696796,146
13,17.4055,0.0789917,3.96025,0.316395,3.9468,0.896919,1.25692,0,0.639633,0.505773,0.494227,11.1653,0.0687659,0.228198,85.2766,0.977173,3.14332,155
14,31.4043,0.277178,2.23194,0.124649,2.21115,0.905746,1.74034,0,0.739158,0.348352,0.651648,13.1112,0.025858,0.604214,82.1739,1.87066,1.67774,133
15,20.3447,0.0742347,3.97851,0.32755,3.96431,0.923558,2.3829,0,0.679121,0.573039,0.426961,17.0764,0.0700925,0.20276,85.1575,0.745081,4.19025,193
16,32.9659,0.18612,4.06505,0.410242,4.04001,0.956347,2.83676,0,0.748755,0.550694,0.449306,21.9955,0.0310211,0.328831,83.6374,0.815892,2.8792,149
17,30.6674,0.248668,2.53584,0.035951,2.52337,0.938282,3.04014,0,0.75588,0.403234,0.596766,22.537,0.0339576,0.514178,84.3138,1.47995,3.09267,135
18,12.3373,0.192017,4.06652,0.373529,4.04477,0.901701,0.712577,0,0.539571,0.342192,0.657808,9.70094,0.161641,2.96504,84.0719,1.92234,3.97885,141
19,17.2974,0.410134,3.71403,0.0842175,3.69036,0.91467,2.72751,0,0.645834,0.588366,0.411634,19.7412,0.090207,0.116499,83.5271,0.699623,3.22184,171
20,10.6703,0.128267,3.84061,0.173243,3.83455,0.921279,1.20926,0,0.599575,0.495267,0.504733,8.86125,0.120134,0.159339,86.7825,1.01911,3.16317,167
