Altitude [m],5000,22.1302,7.12759,7.62909,15.8811,21.914,28.4497,35.9422
Baseline - x [m],5000,0.928216,0.819735,0.000202614,0.292411,0.674559,1.36035,2.96187
Baseline - xyz [m],5000,2.33956,1.01946,0.501587,1.46651,2.3598,3.2363,4.18525
Baseline - y [m],5000,0.940615,0.830879,6.62968e-05,0.292255,0.679405,1.36168,2.96503
Baseline - z [m],5000,1.51076,1.05929,0.000285192,0.61166,1.30937,2.30749,4.07355
Coverage,5000,0.91513,0.0177113,0.877403,0.904215,0.912219,0.922257,0.949239
Depth variation [m],5000,1.86387,0.805112,0.256731,1.23929,1.7241,2.39037,4.10538
Failure,5000,0,0,0,0,0,0,0
Fraction estimated px,5000,0.741177,0.042094,0.651502,0.722203,0.747598,0.769479,0.830092
Fraction inliers (error <= 1%),5000,0.544216,0.178421,0.0537506,0.422643,0.565636,0.678727,0.930746
Fraction outliers (error > 1%),5000,0.455784,0.178421,0.0692538,0.321273,0.434364,0.577357,0.946249
Max abs. error [m],5000,13.7605,5.29865,2.35358,9.79125,12.9441,17.1307,28.0894
Mean G.T. relative error,5000,0.0356257,0.022992,0.00582261,0.022292,0.0298574,0.0408452,0.0684279
Median abs. error [m],5000,0.316379,0.351206,0.0240757,0.117513,0.215575,0.373477,0.754074
Motion angle [deg],5000,44.5785,25.5917,0.016674,22.5973,44.2031,67.3203,89.7447
Outliers / inliers,5000,inf,-nan,0.0744067,0.473347,0.767921,1.36606,2.70375
RMSE [m],5000,1.92559,0.872143,0.231233,1.26126,1.81714,2.45876,4.25317
Runtime [ms],5000,142.977,31.3883,93,122,136,155,204
