Frame ID,Altitude [m],Baseline - x [m],Baseline - xyz [m],Baseline - y [m],Baseline - z [m],Coverage,Depth variation [m],Failure,Fraction estimated px,Fraction inliers (error <= 1%),Fraction outliers (error > 1%),Max abs. error [m],Mean G.T. relative error,Median abs. error [m],Motion angle [deg],Outliers / inliers,RMSE [m],Runtime [ms]
0,29.802,0.472419,3.65972,0.0917454,3.62794,0.901702,2.56504,0,0.161653,0.409709,0.590291,15.5531,0.020407,0.479704,82.4439,1.44076,1.43855,273
1,30.6481,0.520468,4.08618,0.070404,4.05229,0.928092,3.44638,0,0.123641,0.530707,0.469293,27.389,0.029632,0.370969,82.6152,0.884279,3.39438,291
2,28.0682,0.075625,1.74789,0.0169699,1.74617,0.897385,2.70879,0,0.249148,0.203706,0.796294,23.1626,0.0294108,0.750215,87.4585,3.90904,1.30127,289
3,19.0813,0.304209,3.25434,0.2345,3.23159,0.949034,1.91122,0,0.223005,0.642473,0.357527,13.3765,0.0141429,0.161304,83.2217,0.556487,0.931193,313
4,23.1122,0.412304,3.70119,0.106463,3.67661,0.910371,1.41454,0,0.122725,0.471018,0.528982,13.1581,0.0259587,0.317666,83.3934,1.12306,1.93413,267
5,16.4638,0.347814,3.8174,0.447562,3.77509,0.891743,1.59417,0,0.230935,0.7627,0.2373,11.5814,0.0114692,0.125124,81.461,0.311132,0.874116,304
6,18.0712,0.13454,2.23138,0.0672483,2.2263,0.898341,1.64666,0,0.229238,0.435523,0.564477,9.98889,0.0160844,0.240262,86.1349,1.29609,0.555842,296
7,21.729,0.557724,3.80213,0.221733,3.75446,0.931289,0.962283,0,0.114627,0.726331,0.273669,9.48979,0.0119915,0.148872,80.9176,0.376783,0.723489,275
8,15.3166,0.495715,3.6444,0.33245,3.59519,-1,1.46283,1,-1,-1,-1,-1,-1,-1,80.5737,-1,-1,307
9,31.3163,0.42908,3.03067,0.212158,2.99263,0.937544,2.53948,0,0.132686,0.353563,0.646437,22.5411,0.0253916,0.532431,80.9126,1.82835,1.77377,276
10,32.7783,0.291452,3.83714,0.254599,3.81758,0.887422,2.40623,0,0.158737,0.356115,0.643885,16.6119,0.0186387,0.520202,84.2116,1.80808,1.13972,275
11,24.41,0.0465959,1.4044,0.222545,1.38587,0.892996,2.11709,0,0.133262,0.235528,0.764472,23.6347,0.0363125,0.632647,80.6829,3.24578,1.5529,259
12,22.6556,0.294468,2.62159,0.220587,2.59565,0.921962,0.920107,0,0.252097,0.474324,0.525676,6.27934,0.0138376,0.281289,81.9322,1.10826,0.505828,282
13,17.4055,0.0789917,3.96025,0.316395,3.9468,0.882844,1.25692,0,0.184295,0.849649,0.150351,10.3787,0.011159,0.0902193,85.2766,0.176956,0.998615,291
14,31.4043,0.277178,2.23194,0.124649,2.21115,0.897681,1.74034,0,0.123181,0.184611,0.815389,37.8502,0.0406854,1.09067,82.1739,4.4168,2.18499,262
15,20.3447,0.0742347,3.97851,0.32755,3.96431,0.917656,2.3829,0,0.111439,0.666558,0.333442,17.0229,0.0302973,0.169733,85.1575,0.500245,2.48032,311
16,32.9659,0.18612,4.06505,0.410242,4.04001,0.950812,2.83676,0,0.19049,0.37368,0.62632,20.264,0.0208941,0.504126,83.6374,1.67609,1.55846,296
17,30.6674,0.248668,2.53584,0.035951,2.52337,0.929164,3.04014,0,0.160458,0.293077,0.706923,20.4688,0.0283453,0.722735,84.3138,2.41207,1.89247,295
18,12.3373,0.192017,4.06652,0.373529,4.04477,-1,0.712577,1,-1,-1,-1,-1,-1,-1,84.0719,-1,-1,332
19,17.2974,0.410134,3.71403,0.0842175,3.69036,0.91437,2.72751,0,0.1584,0.753108,0.246892,15.5738,0.0213719,0.0852352,83.5271,0.327831,1.36584,333
20,10.6703,0.128267,3.84061,0.173243,3.83455,0.888759,1.20926,0,0.11605,0.588082,0.411918,8.69357,0.0375183,0.148464,86.7825,0.700444,1.60489,309
21,16.5174,0.331381,4.0881,0.0944874,4.07355,-1,0.732467,1,-1,-1,-1,-1,-1,-1,85.1648,-1,-1,262
22,16.3647,0.303056,3.48518,0.294271,3.45949,0.892119,2.13969,0,0.0572321,0.418661,0.581339,13.29,0.057119,0.276884,83.0384,1.38857,2.90637,305
23,19.9534,0.396958,2.59569,0.0813528,2.56387,0.943774,1.46255,0,0.0882346,0.454396,0.545604,11.4698,0.0257341,0.259845,81.0189,1.20072,1.32866,266
24,33.3095,0.158049,3.25899,0.179232,3.25022,0.911999,4.36985,0,0.123709,0.416269,0.583731,34.0115,0.0316028,0.449452,85.795,1.40229,3.08346,284
25,32.589,0.230624,2.183,0.283199,2.15223,0.904743,2.8765,0,0.163933,0.175271,0.824729,22.5683,0.0386175,1.03293,80.3689,4.70545,2.05724,263
26,32.6775,0.324472,3.84737,0.266905,3.82436,0.920592,1.93596,0,0.146122,0.399414,0.600586,22.0835,0.0210189,0.490224,83.7306,1.50367,1.38756,271
27,32.0028,0.559588,3.9721,0.168866,3.92886,0.923792,3.73743,0,0.188102,0.596392,0.403608,24.3004,0.0167863,0.276521,81.5379,0.676751,1.64054,292
28,14.4961,0.154834,3.58693,0.385361,3.56281,-1,1.0988,1,-1,-1,-1,-1,-1,-1,83.3513,-1,-1,274
29,11.2446,0.0316364,3.80405,0.280231,3.79358,-1,1.55982,1,-1,-1,-1,-1,-1,-1,85.7485,-1,-1,328
30,22.5533,0.11124,1.78665,0.0970524,1.78054,0.905849,2.21542,0,0.2246,0.319746,0.680254,15.9225,0.0233333,0.425391,85.2604,2.12749,0.929039,288
31,27.3372,0.45515,2.93766,0.0976226,2.90054,0.911247,3.07604,0,0.0938732,0.315705,0.684295,18.403,0.0385499,0.550881,80.8825,2.16751,2.83963,283
32,14.022,0.0347533,0.84675,0.0863908,0.841614,0.909568,0.910323,0,0.216075,0.293892,0.706108,10.5394,0.0292572,0.3154,83.6863,2.40261,0.720799,312
33,29.7174,0.31904,3.67529,0.251477,3.65277,0.939532,2.80715,0,0.147093,0.471431,0.528569,18.9109,0.0233921,0.414781,83.654,1.1212,2.16287,323
34,14.2724,0.586519,4.06856,0.223251,4.01986,0.938528,1.35991,0,0.0894349,0.76049,0.23951,11.8998,0.0296806,0.0972222,81.1268,0.314941,1.8284,322
35,29.0419,0.048878,3.00497,0.0678073,3.0038,0.898472,2.07685,0,0.114475,0.443143,0.556857,16.1346,0.0196908,0.393937,88.406,1.25661,1.23097,278
36,12.7315,0.0599644,3.80483,0.140348,3.80177,0.86823,1.03609,0,0.140284,0.769715,0.230285,9.33788,0.0211606,0.0841279,87.7011,0.299182,1.22194,287
37,32.4642,0.0793583,0.798877,0.0235797,0.794576,0.88681,3.50152,0,0.197389,0.0801294,0.919871,35.0121,0.0922999,2.57376,84.0518,11.4798,4.51004,296
38,19.4569,0.0192742,1.5469,0.217971,1.53134,0.887353,1.2314,0,0.217077,0.206621,0.793379,10.998,0.0275974,0.50362,81.8678,3.83978,0.929508,267
39,18.3115,0.336633,3.63856,0.427657,3.59762,0.91369,0.952632,0,0.0604164,0.463599,0.536401,8.34721,0.0346983,0.282703,81.3974,1.15703,1.84085,265
40,10.3135,0.2038,2.78452,0.120187,2.77445,-1,0.77539,1,-1,-1,-1,-1,-1,-1,85.1257,-1,-1,297
41,25.4245,0.531149,3.98285,0.054857,3.9469,0.925062,1.69623,0,0.147849,0.548195,0.451805,11.447,0.0174959,0.263056,82.2953,0.824167,1.17918,300
42,11.7504,0.100062,1.6513,0.151465,1.6413,0.909612,0.93131,0,0.324936,0.655733,0.344267,7.57769,0.0104975,0.104689,83.6886,0.525012,0.347352,284
43,11.7259,0.462436,3.11678,0.0828892,3.08117,-1,1.13868,1,-1,-1,-1,-1,-1,-1,81.3305,-1,-1,280
44,26.6462,0.173752,3.19961,0.279997,3.1826,0.940802,3.20518,0,0.136512,0.453262,0.546738,23.38,0.028071,0.389045,84.0886,1.20623,2.5858,291
45,21.3114,0.0649107,1.52007,0.226506,1.5017,0.892814,1.92893,0,0.261149,0.296874,0.703126,12.4612,0.0241674,0.447566,81.0828,2.36843,0.933568,292
46,13.9814,0.206549,1.4723,0.0607155,1.45648,0.926848,1.41533,0,0.231028,0.452615,0.547385,8.50777,0.0175692,0.17461,81.5918,1.20938,0.595362,287
47,25.1912,0.0792454,3.06391,0.105137,3.06108,0.910927,1.22621,0,0.191307,0.593687,0.406313,10.559,0.0123311,0.242599,87.5372,0.68439,0.689939,282
48,26.9922,0.232654,2.25092,0.289352,2.22009,0.903683,2.063,0,0.140952,0.315929,0.684071,19.5698,0.0292889,0.571852,80.5058,2.16527,2.03923,271
49,21.068,0.0341647,3.04402,0.146106,3.04032,0.882752,0.998475,0,0.197855,0.380038,0.619962,12.8,0.0196717,0.349836,87.1746,1.63132,1.18352,278
50,32.9696,0.158166,2.33113,0.100102,2.3236,0.90273,3.98083,0,0.155354,0.148051,0.851949,23.8489,0.0426888,1.20859,85.3944,5.75442,2.84583,273
51,25.1041,0.466155,3.90905,0.368689,3.8636,0.925529,1.68032,0,0.174446,0.411633,0.588367,10.9373,0.0175299,0.353984,81.2548,1.42935,0.954471,294
52,23.7262,0.0390424,3.25818,0.191197,3.25233,0.985538,1.5817,0,0.193087,0.462218,0.537782,13.29,0.0179333,0.306561,86.5663,1.16348,1.00942,283
53,31.8728,0.263421,2.9997,0.0170872,2.98806,0.889471,3.20407,0,0.107611,0.27123,0.72877,18.7262,0.0321905,0.75323,84.9514,2.68691,2.37091,276
54,30.0553,0.380335,3.9118,0.16828,3.88963,0.911433,1.7523,0,0.167782,0.458609,0.541391,11.3335,0.0172937,0.383105,83.8968,1.18051,1.1294,277
55,31.6994,0.4411,2.788,0.0891086,2.75144,0.904264,1.58153,0,0.228243,0.342674,0.657326,11.39,0.020555,0.562528,80.7113,1.91823,1.0408,266
56,12.581,0.0284259,3.95064,0.655671,3.89575,0.849779,0.522423,0,0.0804689,0.841603,0.158397,8.94118,0.0339908,0.0535307,80.4376,0.188209,1.61264,290
57,15.6147,0.0691301,3.75248,0.525322,3.71488,0.90001,1.11453,0,0.191287,0.707209,0.292791,7.6324,0.0110719,0.138419,81.8827,0.414009,0.470889,311
58,24.4862,0.154322,3.67499,0.317985,3.65795,0.923986,2.1575,0,0.0738348,0.434121,0.565879,17.7597,0.0432415,0.380726,84.4809,1.3035,3.22184,272
59,29.9083,0.287108,2.08804,0.210969,2.05742,0.916284,1.46481,0,0.246542,0.182967,0.817033,15.4891,0.0333139,0.971597,80.1755,4.46546,1.56753,291
60,16.1432,0.637543,3.93646,0.0943387,3.88334,0.923476,1.04749,0,0.105906,0.758739,0.241261,6.68361,0.0171974,0.106328,80.577,0.317976,0.890762,285
61,12.6327,0.153499,1.85791,0.0381251,1.85117,0.916498,1.37052,0,0.257918,0.640015,0.359985,8.44497,0.0140563,0.101313,85.1165,0.562464,0.585529,293
62,9.83493,0.0747917,3.64235,0.252991,3.63278,0.824194,0.69897,0,0.10247,0.75146,0.24854,7.01351,0.0499505,0.0542004,85.8464,0.330743,1.73372,312
63,14.612,0.357334,3.00301,0.288067,2.96773,0.918517,1.04302,0,0.147455,0.597087,0.402913,7.87033,0.0190124,0.163142,81.2083,0.674798,1.01531,297
64,27.3986,0.179281,1.2701,0.0419762,1.25668,0.917717,3.48454,0,0.262636,0.162344,0.837656,27.4535,0.0385453,0.941576,81.6643,5.15976,1.94188,288
65,13.1341,0.12266,2.49634,0.103759,2.49116,0.90811,0.766446,0,0.156709,0.731265,0.268735,6.03269,0.0124167,0.0933695,86.31,0.367494,0.504099,289
66,25.7488,0.590259,3.90852,0.157863,3.86047,0.899544,1.03836,0,0.173477,0.499829,0.500171,12.7263,0.0183731,0.338417,81.0063,1.00068,1.37362,279
67,25.1741,0.019918,3.51744,0.596421,3.46645,0.903543,1.46889,0,0.116075,0.625635,0.374365,10.2681,0.0135484,0.217602,80.2322,0.598377,0.827048,275
68,17.1826,0.427946,3.30023,0.136345,3.26952,0.900219,1.50029,0,0.151559,0.694626,0.305374,11.8739,0.0165153,0.158438,82.1781,0.439623,1.23518,309
69,23.624,0.173966,3.1243,0.478616,3.08251,0.90659,1.44855,0,0.149805,0.399107,0.600893,12.9261,0.0225126,0.390545,80.6191,1.5056,1.52239,276
70,31.7853,0.381479,3.0677,0.212686,3.03645,0.914593,2.26474,0,0.0911176,0.357559,0.642441,17.3569,0.0279886,0.543201,81.8147,1.79674,2.02905,263
71,30.1073,0.501481,3.91812,0.20946,3.88024,0.904888,1.93641,0,0.207,0.621719,0.378281,15.1081,0.0118589,0.260802,82.027,0.608443,0.855624,305
