Altitude [m],5000,22.1302,7.12759,7.62909,15.8811,21.914,28.4497,35.9422
Baseline - x [m],5000,0.928216,0.819735,0.000202614,0.292411,0.674559,1.36035,2.96187
Baseline - xyz [m],5000,2.33956,1.01946,0.501587,1.46651,2.3598,3.2363,4.18525
Baseline - y [m],5000,0.940615,0.830879,6.62968e-05,0.292255,0.679405,1.36168,2.96503
Baseline - z [m],5000,1.51076,1.05929,0.000285192,0.61166,1.30937,2.30749,4.07355
Coverage,4922,0.907635,0.0173734,0.870979,0.897148,0.904806,0.914756,0.940903
Depth variation [m],5000,1.86387,0.805112,0.256731,1.23929,1.7241,2.39037,4.10538
Failure,5000,0.0156,0.123934,0,0,0,0,0
Fraction estimated px,4922,0.207542,0.0761013,0.0500163,0.152375,0.207575,0.258211,0.415007
Fraction inliers (error <= 1%),4922,0.507567,0.229224,0.0541472,0.318679,0.500832,0.688444,0.991507
Fraction outliers (error > 1%),4922,0.492433,0.229224,0.00849273,0.311556,0.499168,0.681321,0.945853
Max abs. error [m],4922,14.747,6.72485,2.43386,9.92378,13.4065,18.3474,30.9545
Mean G.T. relative error,4922,0.0238509,0.0145442,0.00372379,0.0137696,0.0198772,0.029632,0.0532799
Median abs. error [m],4922,0.376327,0.369499,0.0127175,0.135009,0.258346,0.483707,1.00559
Motion angle [deg],5000,44.5785,25.5917,0.016674,22.5973,44.2031,67.3203,89.7447
Outliers / inliers,4922,1.67949,1.96284,0.00856547,0.45255,0.996676,2.13795,4.65264
RMSE [m],4922,1.30177,0.768542,0.0876442,0.739688,1.1339,1.6734,3.07069
Runtime [ms],4922,300.679,29.9424,252,281,294,312,358
