Frame ID,Altitude [m],Baseline - x [m],Baseline - xyz [m],Baseline - y [m],Baseline - z [m],Coverage,Depth variation [m],Failure,Fraction estimated px,Fraction inliers (error <= 1%),Fraction outliers (error > 1%),Max abs. error [m],Mean G.T. relative error,Median abs. error [m],Motion angle [deg],Outliers / inliers,RMSE [m],Runtime [ms]
0,29.802,0.472419,3.65972,0.0917454,3.62794,0.903509,2.56504,0,0.181104,0.281543,0.718457,15.6928,0.0252357,0.676641,82.4439,2.55185,1.52233,282
1,30.6481,0.520468,4.08618,0.070404,4.05229,0.927278,3.44638,0,0.132554,0.265919,0.734081,27.5985,0.0366375,0.69858,82.6152,2.76054,3.55153,290
2,28.0682,0.075625,1.74789,0.0169699,1.74617,0.896858,2.70879,0,0.241076,0.135937,0.864063,22.231,0.0386696,1.09975,87.4585,6.35633,1.58975,294
3,19.0813,0.304209,3.25434,0.2345,3.23159,0.952143,1.91122,0,0.271963,0.401363,0.598637,13.2174,0.0168072,0.263755,83.2217,1.49151,0.785596,321
4,23.1122,0.412304,3.70119,0.106463,3.67661,0.910948,1.41454,0,0.197995,0.541178,0.458822,13.1632,0.0178157,0.270175,83.3934,0.847821,1.37442,278
5,16.4638,0.347814,3.8174,0.447562,3.77509,0.891638,1.59417,0,0.168442,0.291029,0.708971,11.3719,0.0220085,0.371106,81.461,2.43609,1.06882,299
6,18.0712,0.13454,2.23138,0.0672483,2.2263,0.894454,1.64666,0,0.209892,0.542402,0.457598,12.6878,0.0152963,0.183481,86.1349,0.84365,0.703982,289
7,21.729,0.557724,3.80213,0.221733,3.75446,0.931793,0.962283,0,0.217412,0.397387,0.602613,9.28423,0.0137039,0.312963,80.9176,1.51644,0.501652,288
8,15.3166,0.495715,3.6444,0.33245,3.59519,0.938354,1.46283,0,0.152814,0.662366,0.337634,9.03754,0.0204874,0.112824,80.5737,0.50974,1.05214,320
9,31.3163,0.42908,3.03067,0.212158,2.99263,0.938391,2.53948,0,0.0876234,0.289349,0.710651,20.5472,0.0322045,0.659143,80.9126,2.45604,2.23583,272
10,32.7783,0.291452,3.83714,0.254599,3.81758,0.892918,2.40623,0,0.179863,0.273992,0.726008,17.4394,0.0235304,0.659341,84.2116,2.64975,1.34606,274
11,24.41,0.0465959,1.4044,0.222545,1.38587,0.894449,2.11709,0,0.255134,0.214137,0.785863,14.17,0.0379537,0.717584,80.6829,3.6699,1.4146,270
12,22.6556,0.294468,2.62159,0.220587,2.59565,0.925573,0.920107,0,0.143396,0.323278,0.676722,7.41186,0.0213928,0.415892,81.9322,2.09331,0.801527,273
13,17.4055,0.0789917,3.96025,0.316395,3.9468,0.879233,1.25692,0,0.169458,0.322699,0.677301,10.7967,0.0219659,0.363984,85.2766,2.09886,1.17384,271
14,31.4043,0.277178,2.23194,0.124649,2.21115,0.897836,1.74034,0,0.201441,0.143934,0.856066,15.5052,0.0418816,1.27787,82.1739,5.94761,2.08102,272
15,20.3447,0.0742347,3.97851,0.32755,3.96431,-1,2.3829,1,-1,-1,-1,-1,-1,-1,85.1575,-1,-1,303
16,32.9659,0.18612,4.06505,0.410242,4.04001,0.951111,2.83676,0,0.237111,0.365961,0.634039,18.4738,0.0186065,0.516856,83.6374,1.73253,1.27081,290
