Altitude [m],5000,22.1302,7.12759,7.62909,15.8811,21.914,28.4497,35.9422
Baseline - x [m],5000,0.928216,0.819735,0.000202614,0.292411,0.674559,1.36035,2.96187
Baseline - xyz [m],5000,2.33956,1.01946,0.501587,1.46651,2.3598,3.2363,4.18525
Baseline - y [m],5000,0.940615,0.830879,6.62968e-05,0.292255,0.679405,1.36168,2.96503
Baseline - z [m],5000,1.51076,1.05929,0.000285192,0.61166,1.30937,2.30749,4.07355
Coverage,4925,0.907456,0.0171891,0.870332,0.896893,0.904749,0.914668,0.941275
Depth variation [m],5000,1.86387,0.805112,0.256731,1.23929,1.7241,2.39037,4.10538
Failure,5000,0.015,0.121565,0,0,0,0,0
Fraction estimated px,4925,0.201622,0.0702817,0.050507,0.150762,0.203157,0.248215,0.394216
Fraction inliers (error <= 1%),4925,0.380614,0.224007,0.0297259,0.19603,0.33928,0.528384,0.979341
Fraction outliers (error > 1%),4925,0.619386,0.224007,0.0206593,0.471616,0.66072,0.80397,0.970274
Max abs. error [m],4925,15.2628,7.1937,2.46094,9.99965,13.75,19.0846,32.6384
Mean G.T. relative error,4925,0.0300327,0.0179363,0.00381669,0.0179253,0.0249674,0.0368606,0.0652544
Median abs. error [m],4925,0.540483,0.528552,0.0191643,0.194447,0.371367,0.677503,1.40048
Motion angle [deg],5000,44.5785,25.5917,0.016674,22.5973,44.2031,67.3203,89.7447
Outliers / inliers,4925,3.121,3.4548,0.0210951,0.892563,1.94742,4.10126,8.89026
RMSE [m],4925,1.47686,0.876275,0.118697,0.847601,1.28195,1.87213,3.40476
Runtime [ms],4925,300.044,29.2351,253,281,293,311,356
