Frame ID,Altitude [m],Baseline - x [m],Baseline - xyz [m],Baseline - y [m],Baseline - z [m],Coverage,Depth variation [m],Failure,Fraction estimated px,Fraction inliers (error <= 1%),Fraction outliers (error > 1%),Max abs. error [m],Mean G.T. relative error,Median abs. error [m],Motion angle [deg],Outliers / inliers,RMSE [m],Runtime [ms]
0,29.802,0.472419,3.65972,0.0917454,3.62794,0.902664,2.56504,0,0.32184,0.807195,0.192805,14.8693,0.00726161,0.176638,82.4439,0.238858,0.663203,333
1,30.6481,0.520468,4.08618,0.070404,4.05229,0.928705,3.44638,0,0.304282,0.872952,0.127048,27.3733,0.00772167,0.147071,82.6152,0.145538,1.30829,335
2,28.0682,0.075625,1.74789,0.0169699,1.74617,0.898955,2.70879,0,0.372706,0.616945,0.383055,20.3856,0.0108262,0.24194,87.4585,0.620891,0.551702,317
3,19.0813,0.304209,3.25434,0.2345,3.23159,0.950553,1.91122,0,0.236413,0.932694,0.0673056,13.4205,0.00702086,0.0546659,83.2217,0.0721625,0.741747,342
4,23.1122,0.412304,3.70119,0.106463,3.67661,0.91038,1.41454,0,0.259344,0.865548,0.134452,13.2213,0.00983011,0.0987264,83.3934,0.155337,1.24894,318
5,16.4638,0.347814,3.8174,0.447562,3.77509,0.891127,1.59417,0,0.242565,0.941258,0.0587418,11.7421,0.0064148,0.056166,81.461,0.0624078,0.71725,334
6,18.0712,0.13454,2.23138,0.0672483,2.2263,0.899502,1.64666,0,0.309409,0.859093,0.140907,13.408,0.00664122,0.079352,86.1349,0.164018,0.420765,354
7,21.729,0.557724,3.80213,0.221733,3.75446,0.933397,0.962283,0,0.258261,0.955059,0.0449406,9.89605,0.00396714,0.0612786,80.9176,0.0470553,0.313972,324
8,15.3166,0.495715,3.6444,0.33245,3.59519,0.939013,1.46283,0,0.175877,0.937782,0.0622184,10.083,0.00809751,0.0411601,80.5737,0.0663464,0.620894,337
9,31.3163,0.42908,3.03067,0.212158,2.99263,0.939966,2.53948,0,0.318538,0.7941,0.2059,17.8036,0.0078418,0.169614,80.9126,0.259287,0.732524,304
10,32.7783,0.291452,3.83714,0.254599,3.81758,0.893054,2.40623,0,0.316319,0.81233,0.18767,16.3541,0.00703068,0.166924,84.2116,0.231027,0.621987,299
11,24.41,0.0465959,1.4044,0.222545,1.38587,0.893479,2.11709,0,0.359652,0.541737,0.458263,17.3853,0.0128081,0.242747,80.6829,0.845914,0.550053,284
12,22.6556,0.294468,2.62159,0.220587,2.59565,0.923448,0.920107,0,0.315914,0.880732,0.119268,6.1364,0.00531414,0.0972341,81.9322,0.135419,0.244691,295
13,17.4055,0.0789917,3.96025,0.316395,3.9468,0.88627,1.25692,0,0.221653,0.944522,0.0554778,10.3162,0.0075737,0.0528177,85.2766,0.0587363,0.859601,314
14,31.4043,0.277178,2.23194,0.124649,2.21115,0.899204,1.74034,0,0.381034,0.627738,0.372262,12.2142,0.010925,0.276287,82.1739,0.593022,0.650366,313
15,20.3447,0.0742347,3.97851,0.32755,3.96431,0.916901,2.3829,0,0.234192,0.932867,0.0671333,16.9879,0.00946339,0.065689,85.1575,0.0719646,1.35584,337
16,32.9659,0.18612,4.06505,0.410242,4.04001,0.950667,2.83676,0,0.270937,0.847953,0.152047,19.5823,0.00722875,0.150337,83.6374,0.17931,0.85823,317
17,30.6674,0.248668,2.53584,0.035951,2.52337,0.93031,3.04014,0,0.321481,0.693664,0.306336,23.0373,0.00996982,0.245314,84.3138,0.44162,0.942282,327
18,12.3373,0.192017,4.06652,0.373529,4.04477,0.870542,0.712577,0,0.107031,0.893422,0.106578,9.19503,0.027945,0.0308588,84.0719,0.119292,1.6065,316
19,17.2974,0.410134,3.71403,0.0842175,3.69036,0.914309,2.72751,0,0.237798,0.950897,0.0491034,14.7004,0.00919112,0.0359922,83.5271,0.051639,0.902636,344
20,10.6703,0.128267,3.84061,0.173243,3.83455,0.890851,1.20926,0,0.157436,0.896809,0.103191,8.44391,0.0145354,0.0288739,86.7825,0.115064,0.998171,325
21,16.5174,0.331381,4.0881,0.0944874,4.07355,0.978018,0.732467,0,0.129802,0.955687,0.0443131,6.31061,0.00520093,0.0425081,85.1648,0.0463678,0.366132,284
22,16.3647,0.303056,3.48518,0.294271,3.45949,0.893993,2.13969,0,0.249652,0.94462,0.0553805,13.2685,0.00660058,0.0579245,83.0384,0.0586273,0.75029,363
23,19.9534,0.396958,2.59569,0.0813528,2.56387,0.942411,1.46255,0,0.25464,0.896086,0.103914,10.9707,0.00620829,0.0730448,81.0189,0.115965,0.532603,302
24,33.3095,0.158049,3.25899,0.179232,3.25022,0.913862,4.36985,0,0.341622,0.793001,0.206999,26.4929,0.00830197,0.17554,85.795,0.261032,1.02647,291
25,32.589,0.230624,2.183,0.283199,2.15223,0.904069,2.8765,0,0.32757,0.600456,0.399544,20.9009,0.0113227,0.283269,80.3689,0.665402,0.710326,287
26,32.6775,0.324472,3.84737,0.266905,3.82436,0.920833,1.93596,0,0.33442,0.818211,0.181789,12.6474,0.00686787,0.169858,83.7306,0.222179,0.536648,302
27,32.0028,0.559588,3.9721,0.168866,3.92886,0.924888,3.73743,0,0.287888,0.86085,0.13915,22.129,0.00761508,0.12908,81.5379,0.161642,1.0212,313
28,14.4961,0.154834,3.58693,0.385361,3.56281,0.931826,1.0988,0,0.199597,0.962035,0.0379645,7.68066,0.00612732,0.0249433,83.3513,0.0394627,0.518522,299
29,11.2446,0.0316364,3.80405,0.280231,3.79358,0.886989,1.55982,0,0.185626,0.92,0.08,10.2722,0.0119499,0.0467145,85.7485,0.0869565,0.93663,344
30,22.5533,0.11124,1.78665,0.0970524,1.78054,0.905471,2.21542,0,0.355286,0.781685,0.218315,14.4468,0.00749497,0.128451,85.2604,0.279288,0.405889,312
31,27.3372,0.45515,2.93766,0.0976226,2.90054,0.910312,3.07604,0,0.309429,0.790225,0.209775,19.4757,0.00844332,0.162041,80.8825,0.265462,0.926081,310
32,14.022,0.0347533,0.84675,0.0863908,0.841614,0.908961,0.910323,0,0.359932,0.676692,0.323308,6.38087,0.00917792,0.110275,83.6863,0.477776,0.229535,310
33,29.7174,0.31904,3.67529,0.251477,3.65277,0.940854,2.80715,0,0.295966,0.825619,0.174381,18.8136,0.00815671,0.161786,83.654,0.211212,1.05309,312
34,14.2724,0.586519,4.06856,0.223251,4.01986,0.938616,1.35991,0,0.10846,0.858995,0.141005,11.5661,0.0246088,0.0594955,81.1268,0.164151,1.73664,358
35,29.0419,0.048878,3.00497,0.0678073,3.0038,0.904073,2.07685,0,0.315027,0.809535,0.190465,17.673,0.00672944,0.155512,88.406,0.235277,0.464308,300
36,12.7315,0.0599644,3.80483,0.140348,3.80177,0.868799,1.03609,0,0.152643,0.920363,0.0796369,9.32579,0.0140135,0.0343682,87.7011,0.0865277,1.0627,298
37,32.4642,0.0793583,0.798877,0.0235797,0.794576,0.887142,3.50152,0,0.379897,0.236397,0.763603,23.3227,0.031242,0.858719,84.0518,3.23017,1.59639,304
38,19.4569,0.0192742,1.5469,0.217971,1.53134,0.88699,1.2314,0,0.341293,0.687342,0.312658,11.0086,0.00927242,0.147494,81.8678,0.45488,0.432144,291
39,18.3115,0.336633,3.63856,0.427657,3.59762,0.913705,0.952632,0,0.164876,0.891412,0.108588,8.49749,0.0133995,0.0697741,81.3974,0.121816,1.19159,289
40,10.3135,0.2038,2.78452,0.120187,2.77445,0.938986,0.77539,0,0.0599902,0.684256,0.315744,7.05194,0.0672115,0.0581311,85.1257,0.461442,2.07776,291
41,25.4245,0.531149,3.98285,0.054857,3.9469,0.925586,1.69623,0,0.289924,0.929673,0.0703267,10.5699,0.00489473,0.0808536,82.2953,0.0756467,0.470276,308
42,11.7504,0.100062,1.6513,0.151465,1.6413,0.907548,0.93131,0,0.283111,0.914845,0.0851553,7.70015,0.00537112,0.0500601,83.6886,0.0930817,0.300605,294
43,11.7259,0.462436,3.11678,0.0828892,3.08117,0.885995,1.13868,0,0.224076,0.950598,0.0494017,8.08811,0.00748907,0.0381123,81.3305,0.0519691,0.626915,307
44,26.6462,0.173752,3.19961,0.279997,3.1826,0.943254,3.20518,0,0.289471,0.833059,0.166941,22.6333,0.00891813,0.150353,84.0886,0.200395,1.26481,321
45,21.3114,0.0649107,1.52007,0.226506,1.5017,0.893386,1.92893,0,0.356689,0.633956,0.366044,15.1103,0.0103393,0.185813,81.0828,0.577396,0.46714,317
46,13.9814,0.206549,1.4723,0.0607155,1.45648,0.924927,1.41533,0,0.266579,0.901164,0.0988364,8.88064,0.00584891,0.0511156,81.5918,0.109676,0.347037,307
47,25.1912,0.0792454,3.06391,0.105137,3.06108,0.911738,1.22621,0,0.327423,0.861236,0.138764,10.2483,0.00576566,0.114135,87.5372,0.161122,0.384253,306
48,26.9922,0.232654,2.25092,0.289352,2.22009,0.904716,2.063,0,0.382237,0.728248,0.271752,18.3885,0.00889725,0.194675,80.5058,0.373158,0.76496,309
49,21.068,0.0341647,3.04402,0.146106,3.04032,0.878347,0.998475,0,0.261427,0.859209,0.140791,12.7449,0.00900726,0.102342,87.1746,0.163861,0.937318,324
50,32.9696,0.158166,2.33113,0.100102,2.3236,0.904983,3.98083,0,0.348364,0.666509,0.333491,22.1924,0.010685,0.271963,85.3944,0.500354,1.00693,346
51,25.1041,0.466155,3.90905,0.368689,3.8636,0.926246,1.68032,0,0.293104,0.917117,0.0828829,11.3402,0.00575764,0.0876745,81.2548,0.0903733,0.624838,320
52,23.7262,0.0390424,3.25818,0.191197,3.25233,0.984828,1.5817,0,0.309404,0.915186,0.084814,11.8244,0.0054017,0.085718,86.5663,0.0926741,0.4948,312
53,31.8728,0.263421,2.9997,0.0170872,2.98806,0.889681,3.20407,0,0.348194,0.736559,0.263441,17.6327,0.00845915,0.22402,84.9514,0.357665,0.694789,334
54,30.0553,0.380335,3.9118,0.16828,3.88963,0.912804,1.7523,0,0.319871,0.897809,0.102191,10.7743,0.00511918,0.10911,83.8968,0.113823,0.432505,304
55,31.6994,0.4411,2.788,0.0891086,2.75144,0.904138,1.58153,0,0.339285,0.719327,0.280673,13.9597,0.00866267,0.21658,80.7113,0.390189,0.530241,284
56,12.581,0.0284259,3.95064,0.655671,3.89575,0.846372,0.522423,0,0.106403,0.866594,0.133406,9.24243,0.0284859,0.0276976,80.4376,0.153943,1.47638,303
57,15.6147,0.0691301,3.75248,0.525322,3.71488,0.899601,1.11453,0,0.226051,0.947912,0.052088,5.7886,0.00485633,0.0366793,81.8827,0.0549502,0.334782,359
58,24.4862,0.154322,3.67499,0.317985,3.65795,0.924596,2.1575,0,0.270118,0.895284,0.104716,18.0543,0.00725865,0.104613,84.4809,0.116965,1.04263,309
59,29.9083,0.287108,2.08804,0.210969,2.05742,0.917991,1.46481,0,0.345086,0.61943,0.38057,10.3835,0.0107153,0.280292,80.1755,0.614386,0.578382,319
60,16.1432,0.637543,3.93646,0.0943387,3.88334,0.924446,1.04749,0,0.264493,0.973939,0.0260614,6.18779,0.00438647,0.0366775,80.577,0.0267587,0.383331,314
61,12.6327,0.153499,1.85791,0.0381251,1.85117,0.915998,1.37052,0,0.261386,0.930419,0.0695815,9.29376,0.00627074,0.0407643,85.1165,0.0747851,0.403152,308
62,9.83493,0.0747917,3.64235,0.252991,3.63278,0.825314,0.69897,0,0.0925221,0.797959,0.202041,7.1735,0.0457825,0.0289043,85.8464,0.253198,1.69363,316
63,14.612,0.357334,3.00301,0.288067,2.96773,0.922914,1.04302,0,0.257834,0.926938,0.0730625,7.82268,0.00646398,0.0544119,81.2083,0.0788213,0.540511,322
64,27.3986,0.179281,1.2701,0.0419762,1.25668,0.920679,3.48454,0,0.423202,0.544408,0.455592,33.3159,0.0136338,0.292025,81.6643,0.836856,0.938956,313
65,13.1341,0.12266,2.49634,0.103759,2.49116,0.908853,0.766446,0,0.300699,0.960711,0.0392892,5.99122,0.00422851,0.0335845,86.31,0.0408959,0.262145,313
66,25.7488,0.590259,3.90852,0.157863,3.86047,0.903045,1.03836,0,0.23072,0.86303,0.13697,12.6929,0.00945222,0.112033,81.0063,0.158708,1.13776,291
67,25.1741,0.019918,3.51744,0.596421,3.46645,0.907918,1.46889,0,0.298967,0.894028,0.105972,8.56283,0.00534841,0.101124,80.2322,0.118533,0.346067,301
68,17.1826,0.427946,3.30023,0.136345,3.26952,0.898487,1.50029,0,0.248935,0.927766,0.0722339,11.846,0.0079187,0.0594183,82.1781,0.0778579,0.901386,339
69,23.624,0.173966,3.1243,0.478616,3.08251,0.90913,1.44855,0,0.267458,0.836388,0.163612,12.7017,0.00912395,0.115585,80.6191,0.195618,1.03503,330
70,31.7853,0.381479,3.0677,0.212686,3.03645,0.917777,2.26474,0,0.356725,0.80845,0.19155,17.3645,0.00710092,0.17198,81.8147,0.236935,0.613871,305
