Altitude [m],5000,22.1302,7.12759,7.62909,15.8811,21.914,28.4497,35.9422
Baseline - x [m],5000,0.928216,0.819735,0.000202614,0.292411,0.674559,1.36035,2.96187
Baseline - xyz [m],5000,2.33956,1.01946,0.501587,1.46651,2.3598,3.2363,4.18525
Baseline - y [m],5000,0.940615,0.830879,6.62968e-05,0.292255,0.679405,1.36168,2.96503
Baseline - z [m],5000,1.51076,1.05929,0.000285192,0.61166,1.30937,2.30749,4.07355
Coverage,4992,0.908385,0.0177742,0.871397,0.897686,0.905394,0.915614,0.942411
Depth variation [m],5000,1.86387,0.805112,0.256731,1.23929,1.7241,2.39037,4.10538
Failure,5000,0.0016,0.039972,0,0,0,0,0
Fraction estimated px,4992,0.370808,0.0842734,0.164876,0.321667,0.378832,0.426356,0.582534
Fraction inliers (error <= 1%),4992,0.821788,0.172088,0.445237,0.747515,0.884875,0.949221,0.997712
Fraction outliers (error > 1%),4992,0.178212,0.172088,0.00228838,0.0507789,0.115125,0.252485,0.554763
Max abs. error [m],4992,13.4485,5.75169,1.77421,9.32941,12.4681,16.6239,27.5091
Mean G.T. relative error,4992,0.00820911,0.00551704,0.00180396,0.00495433,0.00664396,0.00944115,0.0161685
Median abs. error [m],4992,0.130594,0.127133,0.0142894,0.0482592,0.0908964,0.161596,0.330027
Motion angle [deg],5000,44.5785,25.5917,0.016674,22.5973,44.2031,67.3203,89.7447
Outliers / inliers,4992,0.309005,0.474039,0.00229362,0.0534953,0.130103,0.337766,0.763599
RMSE [m],4992,0.585679,0.315694,0.0511111,0.358888,0.524065,0.738028,1.30194
Runtime [ms],4992,328.562,31.3746,271,307,321,342,394
