Frame ID,Altitude [m],Baseline - x [m],Baseline - xyz [m],Baseline - y [m],Baseline - z [m],Coverage,Depth variation [m],Failure,Fraction estimated px,Fraction inliers (error <= 1%),Fraction outliers (error > 1%),Max abs. error [m],Mean G.T. relative error,Median abs. error [m],Motion angle [deg],Outliers / inliers,RMSE [m],Runtime [ms]
0,29.802,0.472419,3.65972,0.0917454,3.62794,-1,2.56504,1,-1,-1,-1,-1,-1,-1,82.4439,-1,-1,11
1,30.6481,0.520468,4.08618,0.070404,4.05229,0.905737,3.44638,0,0.428707,0.336708,0.663292,23.4344,0.017736,0.596564,82.6152,1.96993,0.941351,757
2,28.0682,0.075625,1.74789,0.0169699,1.74617,-1,2.70879,1,-1,-1,-1,-1,-1,-1,87.4585,-1,-1,10
3,19.0813,0.304209,3.25434,0.2345,3.23159,0.934751,1.91122,0,0.539768,0.563292,0.436708,5.54723,0.0124761,0.190804,83.2217,0.775277,0.375103,561
4,23.1122,0.412304,3.70119,0.106463,3.67661,0.89489,1.41454,0,0.334333,0.418485,0.581515,27.8941,0.0166839,0.374315,83.3934,1.38957,0.712512,515
5,16.4638,0.347814,3.8174,0.447562,3.77509,-1,1.59417,1,-1,-1,-1,-1,-1,-1,81.461,-1,-1,11
6,18.0712,0.13454,2.23138,0.0672483,2.2263,-1,1.64666,1,-1,-1,-1,-1,-1,-1,86.1349,-1,-1,10
7,21.729,0.557724,3.80213,0.221733,3.75446,0.744102,0.962283,0,0.252914,0.555487,0.444513,4.47339,0.010833,0.237149,80.9176,0.800221,0.367922,689
8,15.3166,0.495715,3.6444,0.33245,3.59519,0.455653,1.46283,0,0.138945,0.655427,0.344573,3.5616,0.00973014,0.139289,80.5737,0.525724,0.285183,699
9,31.3163,0.42908,3.03067,0.212158,2.99263,0.937153,2.53948,0,0.438462,0.30922,0.69078,28.0024,0.0252347,0.634596,80.9126,2.23395,1.2918,489
10,32.7783,0.291452,3.83714,0.254599,3.81758,-1,2.40623,1,-1,-1,-1,-1,-1,-1,84.2116,-1,-1,11
11,24.41,0.0465959,1.4044,0.222545,1.38587,-1,2.11709,1,-1,-1,-1,-1,-1,-1,80.6829,-1,-1,11
12,22.6556,0.294468,2.62159,0.220587,2.59565,0.935869,0.920107,0,0.617026,0.40118,0.59882,13.1332,0.0191338,0.356207,81.9322,1.49265,0.699002,663
13,17.4055,0.0789917,3.96025,0.316395,3.9468,0.910926,1.25692,0,0.394041,0.572546,0.427454,15.5464,0.0121352,0.210399,85.2766,0.746585,0.461814,938
14,31.4043,0.277178,2.23194,0.124649,2.21115,0.681543,1.74034,0,0.190652,0.233203,0.766797,50.041,0.0327206,0.871574,82.1739,3.28811,1.79776,802
15,20.3447,0.0742347,3.97851,0.32755,3.96431,-1,2.3829,1,-1,-1,-1,-1,-1,-1,85.1575,-1,-1,22
16,32.9659,0.18612,4.06505,0.410242,4.04001,0.93961,2.83676,0,0.492326,0.38139,0.61861,23.2355,0.0202998,0.529015,83.6374,1.62199,1.11005,550
17,30.6674,0.248668,2.53584,0.035951,2.52337,0.935455,3.04014,0,0.33467,0.29761,0.70239,23.9237,0.021973,0.722981,84.3138,2.3601,1.19431,603
18,12.3373,0.192017,4.06652,0.373529,4.04477,-1,0.712577,1,-1,-1,-1,-1,-1,-1,84.0719,-1,-1,22
19,17.2974,0.410134,3.71403,0.0842175,3.69036,-1,2.72751,1,-1,-1,-1,-1,-1,-1,83.5271,-1,-1,10
20,10.6703,0.128267,3.84061,0.173243,3.83455,-1,1.20926,1,-1,-1,-1,-1,-1,-1,86.7825,-1,-1,11
21,16.5174,0.331381,4.0881,0.0944874,4.07355,-1,0.732467,1,-1,-1,-1,-1,-1,-1,85.1648,-1,-1,686
22,16.3647,0.303056,3.48518,0.294271,3.45949,-1,2.13969,1,-1,-1,-1,-1,-1,-1,83.0384,-1,-1,21
23,19.9534,0.396958,2.59569,0.0813528,2.56387,0.915514,1.46255,0,0.332506,0.29791,0.70209,26.4506,0.020215,0.36707,81.0189,2.35672,0.655535,574
24,33.3095,0.158049,3.25899,0.179232,3.25022,-1,4.36985,1,-1,-1,-1,-1,-1,-1,85.795,-1,-1,21
25,32.589,0.230624,2.183,0.283199,2.15223,-1,2.8765,1,-1,-1,-1,-1,-1,-1,80.3689,-1,-1,10
26,32.6775,0.324472,3.84737,0.266905,3.82436,0.845661,1.93596,0,0.230892,0.430588,0.569412,21.4871,0.0184681,0.460737,83.7306,1.32241,1.09191,1046
27,32.0028,0.559588,3.9721,0.168866,3.92886,0.916858,3.73743,0,0.399829,0.484458,0.515542,24.651,0.0171662,0.360772,81.5379,1.06416,0.909832,1056
28,14.4961,0.154834,3.58693,0.385361,3.56281,-1,1.0988,1,-1,-1,-1,-1,-1,-1,83.3513,-1,-1,818
29,11.2446,0.0316364,3.80405,0.280231,3.79358,-1,1.55982,1,-1,-1,-1,-1,-1,-1,85.7485,-1,-1,11
30,22.5533,0.11124,1.78665,0.0970524,1.78054,0.930537,2.21542,0,0.438828,0.347357,0.652643,35.8135,0.0239563,0.416084,85.2604,1.87888,0.924515,740
31,27.3372,0.45515,2.93766,0.0976226,2.90054,0.785006,3.07604,0,0.213827,0.192022,0.807978,31.0643,0.0263811,0.698397,80.8825,4.20774,1.30748,1016
32,14.022,0.0347533,0.84675,0.0863908,0.841614,0.93181,0.910323,0,0.549515,0.317111,0.682889,30.1594,0.0265589,0.286001,83.6863,2.15347,0.739918,664
33,29.7174,0.31904,3.67529,0.251477,3.65277,0.939873,2.80715,0,0.441206,0.358118,0.641882,37.9919,0.0210233,0.571313,83.654,1.79237,1.19134,559
