Altitude [m],5000,22.1302,7.12759,7.62909,15.8811,21.914,28.4497,35.9422
Baseline - x [m],5000,0.928216,0.819735,0.000202614,0.292411,0.674559,1.36035,2.96187
Baseline - xyz [m],5000,2.33956,1.01946,0.501587,1.46651,2.3598,3.2363,4.18525
Baseline - y [m],5000,0.940615,0.830879,6.62968e-05,0.292255,0.679405,1.36168,2.96503
Baseline - z [m],5000,1.51076,1.05929,0.000285192,0.61166,1.30937,2.30749,4.07355
Coverage,3426,0.904342,0.0677364,0.875119,0.909481,0.926979,0.932432,0.959953
Depth variation [m],5000,1.86387,0.805112,0.256731,1.23929,1.7241,2.39037,4.10538
Failure,5000,0.3148,0.464483,0,0,0,1,1
Fraction estimated px,3426,0.546262,0.137671,0.227835,0.477749,0.578606,0.645625,0.862534
Fraction inliers (error <= 1%),3426,0.527802,0.239589,0,0.335971,0.511296,0.718475,0.999335
Fraction outliers (error > 1%),3426,0.472198,0.239589,0.000665022,0.281525,0.488704,0.664029,1
Max abs. error [m],3426,11.4316,12.3855,0.210353,2.5759,5.84003,17.2287,39.195
Mean G.T. relative error,3426,0.0162937,0.0210809,0.00183377,0.00796647,0.0130521,0.0197582,0.0374213
Median abs. error [m],3426,0.350154,0.631572,0.0149441,0.13407,0.244634,0.434511,0.883166
Motion angle [deg],5000,44.5785,25.5917,0.016674,22.5973,44.2031,67.3203,89.7447
Outliers / inliers,3426,inf,-nan,0.000665465,0.391836,0.955813,1.97645,4.28604
RMSE [m],3426,0.667458,0.840938,0.0283723,0.242563,0.454615,0.843704,1.74466
Runtime [ms],3426,569.668,235.116,128,393,504,726,1221
