Frame ID,Altitude [m],Baseline - x [m],Baseline - xyz [m],Baseline - y [m],Baseline - z [m],Coverage,Depth variation [m],Failure,Fraction estimated px,Fraction inliers (error <= 1%),Fraction outliers (error > 1%),Max abs. error [m],Mean G.T. relative error,Median abs. error [m],Motion angle [deg],Outliers / inliers,RMSE [m],Runtime [ms]
0,29.802,0.472419,3.65972,0.0917454,3.62794,-1,2.56504,1,-1,-1,-1,-1,-1,-1,82.4439,-1,-1,10
1,30.6481,0.520468,4.08618,0.070404,4.05229,0.898526,3.44638,0,0.416761,0.414509,0.585491,32.1269,0.0165577,0.509473,82.6152,1.41249,0.959388,853
2,28.0682,0.075625,1.74789,0.0169699,1.74617,-1,2.70879,1,-1,-1,-1,-1,-1,-1,87.4585,-1,-1,11
3,19.0813,0.304209,3.25434,0.2345,3.23159,0.933881,1.91122,0,0.520594,0.412065,0.587935,7.51497,0.0151358,0.271265,83.2217,1.4268,0.432987,556
4,23.1122,0.412304,3.70119,0.106463,3.67661,0.93013,1.41454,0,0.503681,0.401349,0.598651,18.3578,0.0171235,0.381541,83.3934,1.49159,0.740548,611
5,16.4638,0.347814,3.8174,0.447562,3.77509,-1,1.59417,1,-1,-1,-1,-1,-1,-1,81.461,-1,-1,11
6,18.0712,0.13454,2.23138,0.0672483,2.2263,-1,1.64666,1,-1,-1,-1,-1,-1,-1,86.1349,-1,-1,10
7,21.729,0.557724,3.80213,0.221733,3.75446,0.922649,0.962283,0,0.350213,0.594755,0.405245,53.3005,0.0105819,0.214718,80.9176,0.681365,0.592994,786
8,15.3166,0.495715,3.6444,0.33245,3.59519,0.727198,1.46283,0,0.269019,0.667468,0.332532,3.77399,0.0101716,0.128319,80.5737,0.498199,0.287558,732
9,31.3163,0.42908,3.03067,0.212158,2.99263,0.854002,2.53948,0,0.320947,0.252607,0.747393,21.11,0.0291221,0.762139,80.9126,2.95872,1.37358,532
10,32.7783,0.291452,3.83714,0.254599,3.81758,-1,2.40623,1,-1,-1,-1,-1,-1,-1,84.2116,-1,-1,11
11,24.41,0.0465959,1.4044,0.222545,1.38587,-1,2.11709,1,-1,-1,-1,-1,-1,-1,80.6829,-1,-1,10
