Frame ID,Altitude [m],Baseline - x [m],Baseline - xyz [m],Baseline - y [m],Baseline - z [m],Coverage,Depth variation [m],Failure,Fraction estimated px,Fraction inliers (error <= 1%),Fraction outliers (error > 1%),Max abs. error [m],Mean G.T. relative error,Median abs. error [m],Motion angle [deg],Outliers / inliers,RMSE [m],Runtime [ms]
0,29.802,0.472419,3.65972,0.0917454,3.62794,-1,2.56504,1,-1,-1,-1,-1,-1,-1,82.4439,-1,-1,49
1,30.6481,0.520468,4.08618,0.070404,4.05229,0.934914,3.44638,0,0.716736,0.538998,0.461002,9.18219,0.0127414,0.384748,82.6152,0.855295,0.673949,895
2,28.0682,0.075625,1.74789,0.0169699,1.74617,-1,2.70879,1,-1,-1,-1,-1,-1,-1,87.4585,-1,-1,36
3,19.0813,0.304209,3.25434,0.2345,3.23159,0.935146,1.91122,0,0.67408,0.513568,0.486432,6.69237,0.0130861,0.215167,83.2217,0.947163,0.367661,677
4,23.1122,0.412304,3.70119,0.106463,3.67661,0.935878,1.41454,0,0.693784,0.502661,0.497339,6.14501,0.0133699,0.311233,83.3934,0.989412,0.536043,658
5,16.4638,0.347814,3.8174,0.447562,3.77509,-1,1.59417,1,-1,-1,-1,-1,-1,-1,81.461,-1,-1,35
6,18.0712,0.13454,2.23138,0.0672483,2.2263,-1,1.64666,1,-1,-1,-1,-1,-1,-1,86.1349,-1,-1,11
7,21.729,0.557724,3.80213,0.221733,3.75446,0.938179,0.962283,0,0.685889,0.464939,0.535061,8.50658,0.0136312,0.275907,80.9176,1.15082,0.446481,765
8,15.3166,0.495715,3.6444,0.33245,3.59519,0.817638,1.46283,0,0.405408,0.597002,0.402998,3.40388,0.0110403,0.154863,80.5737,0.675036,0.277441,763
9,31.3163,0.42908,3.03067,0.212158,2.99263,0.940745,2.53948,0,0.72984,0.461516,0.538484,9.26609,0.0142417,0.392902,80.9126,1.16677,0.679919,622
10,32.7783,0.291452,3.83714,0.254599,3.81758,-1,2.40623,1,-1,-1,-1,-1,-1,-1,84.2116,-1,-1,23
11,24.41,0.0465959,1.4044,0.222545,1.38587,-1,2.11709,1,-1,-1,-1,-1,-1,-1,80.6829,-1,-1,11
12,22.6556,0.294468,2.62159,0.220587,2.59565,0.93625,0.920107,0,0.713491,0.466537,0.533463,20.1997,0.0135712,0.283529,81.9322,1.14345,0.470068,696
13,17.4055,0.0789917,3.96025,0.316395,3.9468,0.917054,1.25692,0,0.611196,0.455968,0.544032,10.8919,0.014363,0.270076,85.2766,1.19314,0.454622,989
14,31.4043,0.277178,2.23194,0.124649,2.21115,0.930903,1.74034,0,0.692869,0.427388,0.572612,30.9789,0.0166072,0.461099,82.1739,1.33979,0.921025,866
15,20.3447,0.0742347,3.97851,0.32755,3.96431,-1,2.3829,1,-1,-1,-1,-1,-1,-1,85.1575,-1,-1,11
16,32.9659,0.18612,4.06505,0.410242,4.04001,0.939685,2.83676,0,0.714348,0.464131,0.535869,20.7019,0.0140848,0.41546,83.6374,1.15457,0.708013,564
17,30.6674,0.248668,2.53584,0.035951,2.52337,0.936553,3.04014,0,0.722897,0.470116,0.529884,15.4566,0.0145496,0.422816,84.3138,1.12714,0.772255,672
18,12.3373,0.192017,4.06652,0.373529,4.04477,-1,0.712577,1,-1,-1,-1,-1,-1,-1,84.0719,-1,-1,11
19,17.2974,0.410134,3.71403,0.0842175,3.69036,-1,2.72751,1,-1,-1,-1,-1,-1,-1,83.5271,-1,-1,11
20,10.6703,0.128267,3.84061,0.173243,3.83455,-1,1.20926,1,-1,-1,-1,-1,-1,-1,86.7825,-1,-1,11
21,16.5174,0.331381,4.0881,0.0944874,4.07355,0.923073,0.732467,0,0.308794,0.45153,0.54847,3.69614,0.0139179,0.218665,85.1648,1.21469,0.351586,762
22,16.3647,0.303056,3.48518,0.294271,3.45949,-1,2.13969,1,-1,-1,-1,-1,-1,-1,83.0384,-1,-1,10
23,19.9534,0.396958,2.59569,0.0813528,2.56387,0.938072,1.46255,0,0.723642,0.495118,0.504882,6.57925,0.0132338,0.232297,81.0189,1.01972,0.398865,636
24,33.3095,0.158049,3.25899,0.179232,3.25022,-1,4.36985,1,-1,-1,-1,-1,-1,-1,85.795,-1,-1,21
25,32.589,0.230624,2.183,0.283199,2.15223,-1,2.8765,1,-1,-1,-1,-1,-1,-1,80.3689,-1,-1,11
26,32.6775,0.324472,3.84737,0.266905,3.82436,0.934653,1.93596,0,0.617003,0.423542,0.576458,14.8176,0.0155718,0.438135,83.7306,1.36104,0.773102,1208
27,32.0028,0.559588,3.9721,0.168866,3.92886,0.93691,3.73743,0,0.616227,0.442823,0.557177,10.8594,0.0146975,0.389151,81.5379,1.25824,0.674638,1142
28,14.4961,0.154834,3.58693,0.385361,3.56281,0.857254,1.0988,0,0.312815,0.570107,0.429893,3.94712,0.0112845,0.141164,83.3513,0.754058,0.24937,852
29,11.2446,0.0316364,3.80405,0.280231,3.79358,-1,1.55982,1,-1,-1,-1,-1,-1,-1,85.7485,-1,-1,11
30,22.5533,0.11124,1.78665,0.0970524,1.78054,0.930907,2.21542,0,0.715071,0.4473,0.5527,8.06854,0.0143024,0.287936,85.2604,1.23563,0.473789,798
31,27.3372,0.45515,2.93766,0.0976226,2.90054,0.928904,3.07604,0,0.648141,0.412281,0.587719,12.9374,0.0153607,0.404394,80.8825,1.42553,0.685406,1124
32,14.022,0.0347533,0.84675,0.0863908,0.841614,0.93261,0.910323,0,0.74537,0.450045,0.549955,6.19876,0.0150726,0.18734,83.6863,1.222,0.341641,773
33,29.7174,0.31904,3.67529,0.251477,3.65277,0.941074,2.80715,0,0.721231,0.492046,0.507954,12.4916,0.0136214,0.398592,83.654,1.03233,0.69724,630
34,14.2724,0.586519,4.06856,0.223251,4.01986,0.871719,1.35991,0,0.547694,0.631689,0.368311,3.49744,0.0102914,0.156006,81.1268,0.583056,0.286768,730
35,29.0419,0.048878,3.00497,0.0678073,3.0038,-1,2.07685,1,-1,-1,-1,-1,-1,-1,88.406,-1,-1,11
36,12.7315,0.0599644,3.80483,0.140348,3.80177,0.890538,1.03609,0,0.428305,0.559907,0.440093,5.21097,0.0119136,0.171029,87.7011,0.78601,0.296601,883
37,32.4642,0.0793583,0.798877,0.0235797,0.794576,0.929308,3.50152,0,0.628672,0.240318,0.759682,18.9688,0.0317775,0.854831,84.0518,3.16115,1.62377,1112
38,19.4569,0.0192742,1.5469,0.217971,1.53134,-1,1.2314,1,-1,-1,-1,-1,-1,-1,81.8678,-1,-1,11
39,18.3115,0.336633,3.63856,0.427657,3.59762,0.9355,0.952632,0,0.715999,0.476529,0.523471,5.01596,0.0135992,0.262863,81.3974,1.09851,0.449543,593
40,10.3135,0.2038,2.78452,0.120187,2.77445,0.951313,0.77539,0,0.624385,0.516838,0.483162,3.22549,0.0122892,0.149357,85.1257,0.934844,0.236093,463
41,25.4245,0.531149,3.98285,0.054857,3.9469,0.936425,1.69623,0,0.687559,0.549415,0.450585,6.39213,0.0124422,0.274559,82.2953,0.820118,0.474778,688
42,11.7504,0.100062,1.6513,0.151465,1.6413,0.932876,0.93131,0,0.712772,0.472785,0.527215,2.37137,0.0138278,0.163846,83.6886,1.11513,0.267534,884
