Altitude [m],5000,22.1302,7.12759,7.62909,15.8811,21.914,28.4497,35.9422
Baseline - x [m],5000,0.928216,0.819735,0.000202614,0.292411,0.674559,1.36035,2.96187
Baseline - xyz [m],5000,2.33956,1.01946,0.501587,1.46651,2.3598,3.2363,4.18525
Baseline - y [m],5000,0.940615,0.830879,6.62968e-05,0.292255,0.679405,1.36168,2.96503
Baseline - z [m],5000,1.51076,1.05929,0.000285192,0.61166,1.30937,2.30749,4.07355
Coverage,3427,0.929013,0.026268,0.918331,0.928084,0.93182,0.934586,0.944256
Depth variation [m],5000,1.86387,0.805112,0.256731,1.23929,1.7241,2.39037,4.10538
Failure,5000,0.3146,0.464403,0,0,0,1,1
Fraction estimated px,3427,0.701896,0.0648901,0.60565,0.68396,0.715337,0.736711,0.813108
Fraction inliers (error <= 1%),3427,0.707946,0.206281,0,0.516918,0.712431,0.913152,0.99961
Fraction outliers (error > 1%),3427,0.292054,0.206281,0.000390096,0.086848,0.287569,0.483082,1
Max abs. error [m],3427,7.07965,7.80247,0.185566,1.93835,4.23673,9.27801,20.2454
Mean G.T. relative error,3427,0.0100389,0.02167,0.00143776,0.00489971,0.00844673,0.0130983,0.0253526
Median abs. error [m],3427,0.211177,0.690576,0.0143259,0.0934857,0.15795,0.261236,0.511314
Motion angle [deg],5000,44.5785,25.5917,0.016674,22.5973,44.2031,67.3203,89.7447
Outliers / inliers,3427,inf,-nan,0.000390248,0.0951079,0.403646,0.934543,2.13938
RMSE [m],3427,0.403466,0.841449,0.0255677,0.162362,0.286099,0.503968,1.01369
Runtime [ms],3427,591.923,248.864,117,399,530,766,1252
