Altitude [m],5000,22.1302,7.12759,7.62909,15.8811,21.914,28.4497,35.9422
Baseline - x [m],5000,0.928216,0.819735,0.000202614,0.292411,0.674559,1.36035,2.96187
Baseline - xyz [m],5000,2.33956,1.01946,0.501587,1.46651,2.3598,3.2363,4.18525
Baseline - y [m],5000,0.940615,0.830879,6.62968e-05,0.292255,0.679405,1.36168,2.96503
Baseline - z [m],5000,1.51076,1.05929,0.000285192,0.61166,1.30937,2.30749,4.07355
Coverage,2083,0.229552,0.146649,0.0574222,0.126612,0.175216,0.285927,0.52262
Depth variation [m],5000,1.86387,0.805112,0.256731,1.23929,1.7241,2.39037,4.10538
Failure,5000,0.5834,0.493045,0,0,1,1,1
Fraction estimated px,2083,0.156735,0.126124,0.0500489,0.08058,0.11449,0.17653,0.319585
Fraction inliers (error <= 1%),2083,0.481798,0.233339,0,0.288822,0.478756,0.667281,0.99812
Fraction outliers (error > 1%),2083,0.518202,0.233339,0.00187995,0.332719,0.521244,0.711178,1
Max abs. error [m],2083,14.0887,387.99,0.225234,1.4451,2.50279,4.13994,8.12847
Mean G.T. relative error,2083,0.0161592,0.0127319,0.00204244,0.00855166,0.0126421,0.0189992,0.0346362
Median abs. error [m],2083,0.363259,0.357041,0.0165761,0.14403,0.254652,0.458323,0.92831
Motion angle [deg],5000,44.5785,25.5917,0.016674,22.5973,44.2031,67.3203,89.7447
Outliers / inliers,2083,inf,-nan,0.00188349,0.498618,1.08875,2.46234,5.36072
RMSE [m],2083,0.626939,3.3356,0.0285805,0.224337,0.392766,0.677237,1.35278
Runtime [ms],2083,96.9866,12.6722,77,91.25,98,101,115
