Frame ID,Altitude [m],Baseline - x [m],Baseline - xyz [m],Baseline - y [m],Baseline - z [m],Coverage,Depth variation [m],Failure,Fraction estimated px,Fraction inliers (error <= 1%),Fraction outliers (error > 1%),Max abs. error [m],Mean G.T. relative error,Median abs. error [m],Motion angle [deg],Outliers / inliers,RMSE [m],Runtime [ms]
0,29.802,0.472419,3.65972,0.0917454,3.62794,-1,2.56504,1,-1,-1,-1,-1,-1,-1,82.4439,-1,-1,118
1,30.6481,0.520468,4.08618,0.070404,4.05229,-1,3.44638,1,-1,-1,-1,-1,-1,-1,82.6152,-1,-1,96
2,28.0682,0.075625,1.74789,0.0169699,1.74617,-1,2.70879,1,-1,-1,-1,-1,-1,-1,87.4585,-1,-1,99
3,19.0813,0.304209,3.25434,0.2345,3.23159,-1,1.91122,1,-1,-1,-1,-1,-1,-1,83.2217,-1,-1,78
4,23.1122,0.412304,3.70119,0.106463,3.67661,0.114443,1.41454,0,0.059462,0.413293,0.586707,2.55076,0.0127012,0.41003,83.3934,1.41959,0.52098,102
5,16.4638,0.347814,3.8174,0.447562,3.77509,0.111887,1.59417,0,0.0693621,0.68903,0.31097,1.15038,0.00800019,0.1365,81.461,0.451315,0.203574,97
6,18.0712,0.13454,2.23138,0.0672483,2.2263,-1,1.64666,1,-1,-1,-1,-1,-1,-1,86.1349,-1,-1,98
7,21.729,0.557724,3.80213,0.221733,3.75446,-1,0.962283,1,-1,-1,-1,-1,-1,-1,80.9176,-1,-1,94
8,15.3166,0.495715,3.6444,0.33245,3.59519,-1,1.46283,1,-1,-1,-1,-1,-1,-1,80.5737,-1,-1,76
9,31.3163,0.42908,3.03067,0.212158,2.99263,-1,2.53948,1,-1,-1,-1,-1,-1,-1,80.9126,-1,-1,115
10,32.7783,0.291452,3.83714,0.254599,3.81758,-1,2.40623,1,-1,-1,-1,-1,-1,-1,84.2116,-1,-1,110
11,24.41,0.0465959,1.4044,0.222545,1.38587,0.128377,2.11709,0,0.0826906,0.226542,0.773458,4.92508,0.0258804,0.566946,80.6829,3.4142,0.836295,93
12,22.6556,0.294468,2.62159,0.220587,2.59565,-1,0.920107,1,-1,-1,-1,-1,-1,-1,81.9322,-1,-1,97
13,17.4055,0.0789917,3.96025,0.316395,3.9468,0.087088,1.25692,0,0.0510948,0.711791,0.288209,0.768084,0.00753735,0.163632,85.2766,0.404907,0.223055,95
14,31.4043,0.277178,2.23194,0.124649,2.21115,-1,1.74034,1,-1,-1,-1,-1,-1,-1,82.1739,-1,-1,78
