Frame ID,Altitude [m],Baseline - x [m],Baseline - xyz [m],Baseline - y [m],Baseline - z [m],Coverage,Depth variation [m],Failure,Fraction estimated px,Fraction inliers (error <= 1%),Fraction outliers (error > 1%),Max abs. error [m],Mean G.T. relative error,Median abs. error [m],Motion angle [deg],Outliers / inliers,RMSE [m],Runtime [ms]
0,29.802,0.472419,3.65972,0.0917454,3.62794,0.0968015,2.56504,0,0.0721474,0.56087,0.43913,2.38824,0.0102469,0.311987,82.4439,0.782944,0.445852,309
1,30.6481,0.520468,4.08618,0.070404,4.05229,0.130352,3.44638,0,0.121337,0.820446,0.179554,2.34571,0.00602541,0.16808,82.6152,0.218849,0.286704,149
2,28.0682,0.075625,1.74789,0.0169699,1.74617,-1,2.70879,1,-1,-1,-1,-1,-1,-1,87.4585,-1,-1,138
3,19.0813,0.304209,3.25434,0.2345,3.23159,-1,1.91122,1,-1,-1,-1,-1,-1,-1,83.2217,-1,-1,93
4,23.1122,0.412304,3.70119,0.106463,3.67661,0.159466,1.41454,0,0.138951,0.865036,0.134964,1.26322,0.0052514,0.131724,83.3934,0.156022,0.222027,97
5,16.4638,0.347814,3.8174,0.447562,3.77509,0.129524,1.59417,0,0.0980746,0.876606,0.123394,0.809544,0.00506547,0.0811024,81.461,0.140763,0.133597,119
6,18.0712,0.13454,2.23138,0.0672483,2.2263,0.0724642,1.64666,0,0.055283,0.764845,0.235155,1.21308,0.00693666,0.121593,86.1349,0.307454,0.19019,79
7,21.729,0.557724,3.80213,0.221733,3.75446,-1,0.962283,1,-1,-1,-1,-1,-1,-1,80.9176,-1,-1,94
8,15.3166,0.495715,3.6444,0.33245,3.59519,-1,1.46283,1,-1,-1,-1,-1,-1,-1,80.5737,-1,-1,96
9,31.3163,0.42908,3.03067,0.212158,2.99263,0.109582,2.53948,0,0.0986783,0.716739,0.283261,2.83624,0.00782603,0.199086,80.9126,0.395208,0.344545,80
10,32.7783,0.291452,3.83714,0.254599,3.81758,-1,2.40623,1,-1,-1,-1,-1,-1,-1,84.2116,-1,-1,96
11,24.41,0.0465959,1.4044,0.222545,1.38587,0.172279,2.11709,0,0.15477,0.357051,0.642949,2.4534,0.0160813,0.338718,80.6829,1.80072,0.489315,99
12,22.6556,0.294468,2.62159,0.220587,2.59565,0.120308,0.920107,0,0.105048,0.824779,0.175221,1.80532,0.00600089,0.122664,81.9322,0.212447,0.196446,103
13,17.4055,0.0789917,3.96025,0.316395,3.9468,0.101874,1.25692,0,0.0744582,0.910285,0.0897151,0.594731,0.00458471,0.0894207,85.2766,0.0985572,0.140116,81
14,31.4043,0.277178,2.23194,0.124649,2.21115,-1,1.74034,1,-1,-1,-1,-1,-1,-1,82.1739,-1,-1,119
15,20.3447,0.0742347,3.97851,0.32755,3.96431,-1,2.3829,1,-1,-1,-1,-1,-1,-1,85.1575,-1,-1,109
16,32.9659,0.18612,4.06505,0.410242,4.04001,0.102776,2.83676,0,0.0871381,0.666556,0.333444,3.14915,0.00839062,0.295528,83.6374,0.50025,0.422409,102
17,30.6674,0.248668,2.53584,0.035951,2.52337,0.0988891,3.04014,0,0.0815172,0.575594,0.424406,3.94493,0.0107467,0.325564,84.3138,0.737337,0.55058,97
18,12.3373,0.192017,4.06652,0.373529,4.04477,-1,0.712577,1,-1,-1,-1,-1,-1,-1,84.0719,-1,-1,78
19,17.2974,0.410134,3.71403,0.0842175,3.69036,-1,2.72751,1,-1,-1,-1,-1,-1,-1,83.5271,-1,-1,98
20,10.6703,0.128267,3.84061,0.173243,3.83455,-1,1.20926,1,-1,-1,-1,-1,-1,-1,86.7825,-1,-1,105
21,16.5174,0.331381,4.0881,0.0944874,4.07355,0.0932161,0.732467,0,0.0615527,0.882404,0.117596,0.427831,0.00532828,0.0719564,85.1648,0.133267,0.100365,78
22,16.3647,0.303056,3.48518,0.294271,3.45949,-1,2.13969,1,-1,-1,-1,-1,-1,-1,83.0384,-1,-1,94
23,19.9534,0.396958,2.59569,0.0813528,2.56387,0.104624,1.46255,0,0.088268,0.460162,0.539838,1.64677,0.0118922,0.217659,81.0189,1.17315,0.297045,80
24,33.3095,0.158049,3.25899,0.179232,3.25022,0.178655,4.36985,0,0.150644,0.679837,0.320163,3.28773,0.00832794,0.265598,85.795,0.470942,0.438419,79
25,32.589,0.230624,2.183,0.283199,2.15223,0.142426,2.8765,0,0.124743,0.34365,0.65635,3.19883,0.0152164,0.456702,80.3689,1.90993,0.606058,98
26,32.6775,0.324472,3.84737,0.266905,3.82436,-1,1.93596,1,-1,-1,-1,-1,-1,-1,83.7306,-1,-1,99
