Altitude [m],5000,22.1302,7.12759,7.62909,15.8811,21.914,28.4497,35.9422
Baseline - x [m],5000,0.928216,0.819735,0.000202614,0.292411,0.674559,1.36035,2.96187
Baseline - xyz [m],5000,2.33956,1.01946,0.501587,1.46651,2.3598,3.2363,4.18525
Baseline - y [m],5000,0.940615,0.830879,6.62968e-05,0.292255,0.679405,1.36168,2.96503
Baseline - z [m],5000,1.51076,1.05929,0.000285192,0.61166,1.30937,2.30749,4.07355
Coverage,2342,0.521239,0.189127,0.0672847,0.384352,0.525359,0.666379,0.920774
Depth variation [m],5000,1.86387,0.805112,0.256731,1.23929,1.7241,2.39037,4.10538
Failure,5000,0.5316,0.49905,0,0,1,1,1
Fraction estimated px,2342,0.239129,0.167301,0.0500511,0.105069,0.192128,0.329508,0.663808
Fraction inliers (error <= 1%),2342,0.313373,0.178076,0,0.172131,0.29357,0.433423,0.814607
Fraction outliers (error > 1%),2342,0.686627,0.178076,0.185393,0.566577,0.70643,0.827869,1
Max abs. error [m],2342,192.067,204.247,0.390946,26.3853,106.731,315.548,744.528
Mean G.T. relative error,2342,0.144677,0.316176,0.0044462,0.0337568,0.0732736,0.161129,0.350303
Median abs. error [m],2342,1.07537,3.44049,0.0472312,0.26281,0.464609,0.901905,1.85651
Motion angle [deg],5000,44.5785,25.5917,0.016674,22.5973,44.2031,67.3203,89.7447
Outliers / inliers,2342,inf,-nan,0.0847956,1.30722,2.40634,4.80954,10.0598
RMSE [m],2342,10.835,14.1385,0.0914775,2.49859,6.33418,13.5522,30.0429
Runtime [ms],2342,172.851,16.4547,141,162,169,181,209
