Altitude [m],5000,22.1302,7.12759,7.62909,15.8811,21.914,28.4497,35.9422
Baseline - x [m],5000,0.928216,0.819735,0.000202614,0.292411,0.674559,1.36035,2.96187
Baseline - xyz [m],5000,2.33956,1.01946,0.501587,1.46651,2.3598,3.2363,4.18525
Baseline - y [m],5000,0.940615,0.830879,6.62968e-05,0.292255,0.679405,1.36168,2.96503
Baseline - z [m],5000,1.51076,1.05929,0.000285192,0.61166,1.30937,2.30749,4.07355
Coverage,2623,0.562878,0.188614,0.0642487,0.429123,0.580177,0.710589,0.929309
Depth variation [m],5000,1.86387,0.805112,0.256731,1.23929,1.7241,2.39037,4.10538
Failure,5000,0.4754,0.499444,0,0,0,1,1
Fraction estimated px,2623,0.277069,0.188679,0.0500894,0.122589,0.227099,0.392799,0.788305
Fraction inliers (error <= 1%),2623,0.329288,0.182319,0,0.177815,0.317451,0.455422,0.861391
Fraction outliers (error > 1%),2623,0.670712,0.182319,0.138609,0.544578,0.682549,0.822185,1
Max abs. error [m],2623,196.399,204.166,0.519441,27.302,113.897,327.034,773.856
Mean G.T. relative error,2623,0.131302,0.302717,0.0045319,0.030556,0.0648761,0.141724,0.307149
Median abs. error [m],2623,0.984116,2.98968,0.0535277,0.245707,0.441136,0.852401,1.7562
Motion angle [deg],5000,44.5785,25.5917,0.016674,22.5973,44.2031,67.3203,89.7447
Outliers / inliers,2623,inf,-nan,0.0919378,1.19577,2.15009,4.62383,9.64198
RMSE [m],2623,10.0336,12.9775,0.110528,2.3526,5.83221,13.0523,29.0558
Runtime [ms],2623,165.401,6.88945,148,161,165,170,183
