Altitude [m],1,4.99839,0,4.99839,4.99839,4.99839,4.99839,4.99839
Baseline - x [m],1,0,0,0,0,0,0,0
Baseline - xyz [m],1,0.2,0,0.2,0.2,0.2,0.2,0.2
Baseline - y [m],1,0,0,0,0,0,0,0
Baseline - z [m],1,0.2,0,0.2,0.2,0.2,0.2,0.2
Coverage,1,0.859372,0,0.859372,0.859372,0.859372,0.859372,0.859372
Depth variation [m],1,0.000955397,0,0.000955397,0.000955397,0.000955397,0.000955397,0.000955397
Failure,1,0,0,0,0,0,0,0
Fraction estimated px,1,0.653617,0,0.653617,0.653617,0.653617,0.653617,0.653617
Fraction inliers (error <= 1%),1,0.703916,0,0.703916,0.703916,0.703916,0.703916,0.703916
Fraction outliers (error > 1%),1,0.296084,0,0.296084,0.296084,0.296084,0.296084,0.296084
Max abs. error [m],1,0.639903,0,0.639903,0.639903,0.639903,0.639903,0.639903
Mean G.T. relative error,1,0.00864653,0,0.00864653,0.00864653,0.00864653,0.00864653,0.00864653
Median abs. error [m],1,0.0346266,0,0.0346266,0.0346266,0.0346266,0.0346266,0.0346266
Motion angle [deg],1,90,0,90,90,90,90,90
Outliers / inliers,1,0.420624,0,0.420624,0.420624,0.420624,0.420624,0.420624
RMSE [m],1,0.0672745,0,0.0672745,0.0672745,0.0672745,0.0672745,0.0672745
Runtime [ms],1,172,0,172,172,172,172,172
