Altitude [m],1,4.99839,0,4.99839,4.99839,4.99839,4.99839,4.99839
Baseline - x [m],1,0.2,0,0.2,0.2,0.2,0.2,0.2
Baseline - xyz [m],1,0.2,0,0.2,0.2,0.2,0.2,0.2
Baseline - y [m],1,0,0,0,0,0,0,0
Baseline - z [m],1,0,0,0,0,0,0,0
Coverage,1,0.883298,0,0.883298,0.883298,0.883298,0.883298,0.883298
Depth variation [m],1,0.000955397,0,0.000955397,0.000955397,0.000955397,0.000955397,0.000955397
Failure,1,0,0,0,0,0,0,0
Fraction estimated px,1,0.603259,0,0.603259,0.603259,0.603259,0.603259,0.603259
Fraction inliers (error <= 1%),1,1,0,1,1,1,1,1
Fraction outliers (error > 1%),1,0,0,0,0,0,0,0
Max abs. error [m],1,0.0470484,0,0.0470484,0.0470484,0.0470484,0.0470484,0.0470484
Mean G.T. relative error,1,0.00184568,0,0.00184568,0.00184568,0.00184568,0.00184568,0.00184568
Median abs. error [m],1,0.0111416,0,0.0111416,0.0111416,0.0111416,0.0111416,0.0111416
Motion angle [deg],1,0,0,0,0,0,0,0
Outliers / inliers,1,0,0,0,0,0,0,0
RMSE [m],1,0.0125187,0,0.0125187,0.0125187,0.0125187,0.0125187,0.0125187
Runtime [ms],1,169,0,169,169,169,169,169
