Frame ID,Altitude [m],Baseline - x [m],Baseline - xyz [m],Baseline - y [m],Baseline - z [m],Coverage,Depth variation [m],Failure,Fraction estimated px,Fraction inliers (error <= 1%),Fraction outliers (error > 1%),Max abs. error [m],Mean G.T. relative error,Median abs. error [m],Motion angle [deg],Outliers / inliers,RMSE [m],Runtime [ms]
0,29.802,0.472419,3.65972,0.0917454,3.62794,0.874247,2.56504,0,0.518588,0.217896,0.782104,12.6191,0.0429769,0.885928,82.4439,3.58934,2.20817,242
1,30.6481,0.520468,4.08618,0.070404,4.05229,0.868489,3.44638,0,0.485976,0.336811,0.663189,22.7688,0.0439371,0.617484,82.6152,1.96903,3.10487,344
2,28.0682,0.075625,1.74789,0.0169699,1.74617,0.880605,2.70879,0,0.531855,0.164362,0.835638,13.5363,0.0486406,1.01131,87.4585,5.08414,2.0802,219
3,19.0813,0.304209,3.25434,0.2345,3.23159,0.858753,1.91122,0,0.535834,0.443823,0.556177,15.6785,0.0367879,0.217078,83.2217,1.25315,1.79179,356
4,23.1122,0.412304,3.70119,0.106463,3.67661,0.872768,1.41454,0,0.481268,0.306088,0.693912,8.43911,0.0315443,0.509241,83.3934,2.26703,1.34647,282
5,16.4638,0.347814,3.8174,0.447562,3.77509,0.855984,1.59417,0,0.388268,0.312063,0.687937,8.37571,0.0465494,0.346231,81.461,2.20448,1.63143,308
6,18.0712,0.13454,2.23138,0.0672483,2.2263,0.85445,1.64666,0,0.539066,0.315516,0.684484,12.7064,0.0364518,0.323063,86.1349,2.16941,1.32271,239
7,21.729,0.557724,3.80213,0.221733,3.75446,0.856024,0.962283,0,0.217221,0.255201,0.744799,12.8248,0.105069,0.686986,80.9176,2.91848,3.55982,243
8,15.3166,0.495715,3.6444,0.33245,3.59519,0.851524,1.46283,0,0.401217,0.516258,0.483742,15.5338,0.0576308,0.136103,80.5737,0.937014,2.10743,423
9,31.3163,0.42908,3.03067,0.212158,2.99263,0.870658,2.53948,0,0.510281,0.274717,0.725283,18.5247,0.0359406,0.679674,80.9126,2.64011,2.07472,269
10,32.7783,0.291452,3.83714,0.254599,3.81758,0.870304,2.40623,0,0.454483,0.262092,0.737908,14.7198,0.0334899,0.662218,84.2116,2.81545,1.94879,223
11,24.41,0.0465959,1.4044,0.222545,1.38587,0.876381,2.11709,0,0.516041,0.19731,0.80269,10.5614,0.0439698,0.753743,80.6829,4.06816,1.60945,208
12,22.6556,0.294468,2.62159,0.220587,2.59565,0.875234,0.920107,0,0.251776,0.38355,0.61645,10.7861,0.0389894,0.350493,81.9322,1.60722,1.81781,228
13,17.4055,0.0789917,3.96025,0.316395,3.9468,0.858808,1.25692,0,0.493817,0.481118,0.518882,7.57973,0.0209288,0.214598,85.2766,1.07849,0.82826,312
14,31.4043,0.277178,2.23194,0.124649,2.21115,0.8861,1.74034,0,0.468618,0.191213,0.808787,8.23486,0.0389869,1.07883,82.1739,4.22976,1.90877,227
15,20.3447,0.0742347,3.97851,0.32755,3.96431,0.856388,2.3829,0,0.44774,0.324833,0.675167,13.4008,0.0466018,0.389254,85.1575,2.07851,2.1909,367
16,32.9659,0.18612,4.06505,0.410242,4.04001,0.862362,2.83676,0,0.541507,0.282379,0.717621,23.1443,0.0398581,0.687718,83.6374,2.54134,2.67369,300
17,30.6674,0.248668,2.53584,0.035951,2.52337,0.878162,3.04014,0,0.545851,0.186024,0.813976,16.6978,0.0498092,1.11773,84.3138,4.37565,2.78682,279
18,12.3373,0.192017,4.06652,0.373529,4.04477,0.841248,0.712577,0,0.428835,0.582764,0.417236,6.30318,0.0220781,0.114031,84.0719,0.715962,0.736219,319
19,17.2974,0.410134,3.71403,0.0842175,3.69036,0.809799,2.72751,0,0.40546,0.407369,0.592631,19.8041,0.0753447,0.18138,83.5271,1.45477,2.72596,456
20,10.6703,0.128267,3.84061,0.173243,3.83455,0.852406,1.20926,0,0.445428,0.496609,0.503391,6.60206,0.0375903,0.123012,86.7825,1.01366,1.0569,453
21,16.5174,0.331381,4.0881,0.0944874,4.07355,0.859333,0.732467,0,0.157891,0.102754,0.897246,15.3004,0.2909,4.33636,85.1648,8.73194,5.29734,287
22,16.3647,0.303056,3.48518,0.294271,3.45949,0.859779,2.13969,0,0.451548,0.405383,0.594617,11.3187,0.044448,0.240447,83.0384,1.4668,1.8359,378
23,19.9534,0.396958,2.59569,0.0813528,2.56387,0.863222,1.46255,0,0.435553,0.317805,0.682195,10.8991,0.0385899,0.362385,81.0189,2.14658,1.56953,279
24,33.3095,0.158049,3.25899,0.179232,3.25022,0.860703,4.36985,0,0.528198,0.215794,0.784206,29.3472,0.0603889,0.92166,85.795,3.63406,3.80082,272
25,32.589,0.230624,2.183,0.283199,2.15223,0.877125,2.8765,0,0.532023,0.173622,0.826378,16.4847,0.0494774,1.14303,80.3689,4.75964,2.4625,208
26,32.6775,0.324472,3.84737,0.266905,3.82436,0.870009,1.93596,0,0.372231,0.294162,0.705838,13.6357,0.0370664,0.647161,83.7306,2.39949,2.23104,221
27,32.0028,0.559588,3.9721,0.168866,3.92886,0.858076,3.73743,0,0.470681,0.314706,0.685294,22.9929,0.0487718,0.565649,81.5379,2.17756,3.20481,285
28,14.4961,0.154834,3.58693,0.385361,3.56281,0.843387,1.0988,0,0.222601,0.167713,0.832287,12.1463,0.219468,2.18549,83.3513,4.96257,4.05274,316
29,11.2446,0.0316364,3.80405,0.280231,3.79358,0.860783,1.55982,0,0.339586,0.325428,0.674572,10.0418,0.083029,0.233438,85.7485,2.07288,2.04291,455
30,22.5533,0.11124,1.78665,0.0970524,1.78054,0.881034,2.21542,0,0.57411,0.255721,0.744279,13.4398,0.0384026,0.533484,85.2604,2.91052,1.54366,252
31,27.3372,0.45515,2.93766,0.0976226,2.90054,0.872771,3.07604,0,0.519226,0.289057,0.710943,14.0255,0.0413644,0.612771,80.8825,2.45953,2.34408,274
32,14.022,0.0347533,0.84675,0.0863908,0.841614,0.890075,0.910323,0,0.489981,0.24291,0.75709,8.26663,0.0336463,0.362726,83.6863,3.11676,0.803703,227
33,29.7174,0.31904,3.67529,0.251477,3.65277,0.869937,2.80715,0,0.513839,0.250102,0.749898,15.8494,0.0452558,0.820091,83.654,2.99837,2.66524,307
34,14.2724,0.586519,4.06856,0.223251,4.01986,0.85931,1.35991,0,0.481019,0.557364,0.442636,9.4814,0.0258912,0.145165,81.1268,0.794161,1.08943,412
35,29.0419,0.048878,3.00497,0.0678073,3.0038,0.870577,2.07685,0,0.517488,0.27878,0.72122,13.3075,0.0331517,0.599903,88.406,2.58706,1.67009,211
36,12.7315,0.0599644,3.80483,0.140348,3.80177,0.859011,1.03609,0,0.461757,0.433404,0.566596,5.88519,0.0342434,0.180791,87.7011,1.30731,1.03813,313
37,32.4642,0.0793583,0.798877,0.0235797,0.794576,0.90044,3.50152,0,0.470271,0.0879459,0.912054,15.1452,0.0788331,2.43169,84.0518,10.3706,3.68621,191
38,19.4569,0.0192742,1.5469,0.217971,1.53134,0.878153,1.2314,0,0.470341,0.212339,0.787661,6.54526,0.036732,0.5985,81.8678,3.70945,1.13236,190
39,18.3115,0.336633,3.63856,0.427657,3.59762,0.867705,0.952632,0,0.492167,0.399135,0.600865,9.63429,0.0268413,0.291504,81.3974,1.50542,1.08615,263
40,10.3135,0.2038,2.78452,0.120187,2.77445,0.859368,0.77539,0,0.444678,0.489945,0.510055,4.86089,0.0265049,0.12726,85.1257,1.04104,0.670413,345
41,25.4245,0.531149,3.98285,0.054857,3.9469,0.870008,1.69623,0,0.406136,0.32844,0.67156,17.8042,0.0511255,0.438893,82.2953,2.0447,2.76216,285
42,11.7504,0.100062,1.6513,0.151465,1.6413,0.873811,0.93131,0,0.536621,0.313084,0.686916,5.1696,0.0293238,0.239938,83.6886,2.19404,0.674005,257
43,11.7259,0.462436,3.11678,0.0828892,3.08117,0.861655,1.13868,0,0.475473,0.377664,0.622336,7.60285,0.0397235,0.195711,81.3305,1.64785,1.07691,334
44,26.6462,0.173752,3.19961,0.279997,3.1826,0.871974,3.20518,0,0.535478,0.24744,0.75256,19.9697,0.0528639,0.730094,84.0886,3.04139,3.12761,333
45,21.3114,0.0649107,1.52007,0.226506,1.5017,0.892712,1.92893,0,0.570941,0.183002,0.816998,8.81647,0.0466687,0.769044,81.0828,4.46443,1.62562,215
46,13.9814,0.206549,1.4723,0.0607155,1.45648,0.86919,1.41533,0,0.530062,0.330738,0.669262,10.0754,0.0307456,0.231354,81.5918,2.02354,0.903038,278
47,25.1912,0.0792454,3.06391,0.105137,3.06108,0.871941,1.22621,0,0.336784,0.283522,0.716478,11.1825,0.0448192,0.584949,87.5372,2.52707,2.01986,232
48,26.9922,0.232654,2.25092,0.289352,2.22009,0.888418,2.063,0,0.57636,0.204622,0.795378,12.9433,0.0413474,0.902051,80.5058,3.88705,1.88518,248
49,21.068,0.0341647,3.04402,0.146106,3.04032,0.881828,0.998475,0,0.51313,0.335776,0.664224,8.21732,0.0232659,0.392306,87.1746,1.97818,0.857588,222
50,32.9696,0.158166,2.33113,0.100102,2.3236,0.880573,3.98083,0,0.546955,0.144979,0.855021,19.7018,0.0689278,1.5563,85.3944,5.89755,3.90506,258
51,25.1041,0.466155,3.90905,0.368689,3.8636,0.870054,1.68032,0,0.412376,0.310328,0.689672,14.6579,0.0673413,0.501984,81.2548,2.2224,3.11664,274
52,23.7262,0.0390424,3.25818,0.191197,3.25233,0.859173,1.5817,0,0.422106,0.362463,0.637537,17.0521,0.0428752,0.372016,86.5663,1.7589,2.4112,285
53,31.8728,0.263421,2.9997,0.0170872,2.98806,0.888589,3.20407,0,0.538094,0.199365,0.800635,14.9685,0.0498111,1.0644,84.9514,4.01592,2.75949,256
54,30.0553,0.380335,3.9118,0.16828,3.88963,0.872776,1.7523,0,0.333486,0.265163,0.734837,16.1908,0.0630721,0.738266,83.8968,2.77126,3.43517,267
55,31.6994,0.4411,2.788,0.0891086,2.75144,0.878017,1.58153,0,0.439185,0.291758,0.708242,11.4643,0.0307734,0.670636,80.7113,2.4275,1.60457,202
56,12.581,0.0284259,3.95064,0.655671,3.89575,0.861802,0.522423,0,0.43556,0.58299,0.41701,4.56773,0.0178058,0.114985,80.4376,0.715296,0.537664,271
57,15.6147,0.0691301,3.75248,0.525322,3.71488,0.819625,1.11453,0,0.145551,0.012025,0.987975,12.2737,0.293472,4.00527,81.8827,82.1601,4.70183,292
