Altitude [m],5000,22.1302,7.12759,7.62909,15.8811,21.914,28.4497,35.9422
Baseline - x [m],5000,0.928216,0.819735,0.000202614,0.292411,0.674559,1.36035,2.96187
Baseline - xyz [m],5000,2.33956,1.01946,0.501587,1.46651,2.3598,3.2363,4.18525
Baseline - y [m],5000,0.940615,0.830879,6.62968e-05,0.292255,0.679405,1.36168,2.96503
Baseline - z [m],5000,1.51076,1.05929,0.000285192,0.61166,1.30937,2.30749,4.07355
Coverage,4996,0.868786,0.0360802,0.830786,0.863463,0.876203,0.885337,0.91279
Depth variation [m],5000,1.86387,0.805112,0.256731,1.23929,1.7241,2.39037,4.10538
Failure,5000,0.0008,0.0282758,0,0,0,0,0
Fraction estimated px,4996,0.489125,0.0935355,0.297848,0.449811,0.510842,0.551465,0.681783
Fraction inliers (error <= 1%),4996,0.355284,0.154055,0,0.24057,0.338169,0.455091,0.776861
Fraction outliers (error > 1%),4996,0.644716,0.154055,0.223139,0.544909,0.661831,0.75943,1
Max abs. error [m],4996,10.9312,4.07178,1.74364,7.88768,10.4453,13.4614,21.7719
Mean G.T. relative error,4996,0.0437128,0.0269938,0.00763828,0.029229,0.0385767,0.0500678,0.0812847
Median abs. error [m],4996,0.545708,0.495626,0.0276533,0.219225,0.413614,0.695346,1.40678
Motion angle [deg],5000,44.5785,25.5917,0.016674,22.5973,44.2031,67.3203,89.7447
Outliers / inliers,4996,inf,-nan,0.15605,1.19736,1.9571,3.1568,6.09358
RMSE [m],4996,1.82026,0.861995,0.233241,1.17397,1.6827,2.30367,3.99458
Runtime [ms],4996,309.098,107.139,172,235,281,350,522
