Frame ID,Altitude [m],Baseline - x [m],Baseline - xyz [m],Baseline - y [m],Baseline - z [m],Coverage,Depth variation [m],Failure,Fraction estimated px,Fraction inliers (error <= 1%),Fraction outliers (error > 1%),Max abs. error [m],Mean G.T. relative error,Median abs. error [m],Motion angle [deg],Outliers / inliers,RMSE [m],Runtime [ms]
0,29.802,0.472419,3.65972,0.0917454,3.62794,0.875978,2.56504,0,0.526636,0.217886,0.782114,12.1923,0.0425201,0.874024,82.4439,3.58956,2.18884,256
1,30.6481,0.520468,4.08618,0.070404,4.05229,0.868626,3.44638,0,0.523575,0.256505,0.743495,22.239,0.0528359,0.846422,82.6152,2.89856,3.40583,353
2,28.0682,0.075625,1.74789,0.0169699,1.74617,0.880012,2.70879,0,0.534814,0.173785,0.826215,13.036,0.0490385,0.987751,87.4585,4.75424,2.12864,227
3,19.0813,0.304209,3.25434,0.2345,3.23159,0.8587,1.91122,0,0.480446,0.417094,0.582906,16.1837,0.0346316,0.233023,83.2217,1.39754,1.67532,360
4,23.1122,0.412304,3.70119,0.106463,3.67661,0.873321,1.41454,0,0.560174,0.290547,0.709453,8.37399,0.0302369,0.524959,83.3934,2.44179,1.25665,269
5,16.4638,0.347814,3.8174,0.447562,3.77509,0.856425,1.59417,0,0.485203,0.323858,0.676142,8.32565,0.0402287,0.317098,81.461,2.08777,1.44381,316
6,18.0712,0.13454,2.23138,0.0672483,2.2263,0.855655,1.64666,0,0.467886,0.30283,0.69717,12.0419,0.0380571,0.339734,86.1349,2.30219,1.36677,262
7,21.729,0.557724,3.80213,0.221733,3.75446,0.855505,0.962283,0,0.232391,0.238587,0.761413,13.2682,0.112503,0.7396,80.9176,3.19134,3.74197,239
8,15.3166,0.495715,3.6444,0.33245,3.59519,0.851462,1.46283,0,0.392972,0.383787,0.616213,15.0144,0.0825986,0.208566,80.5737,1.60561,2.53252,394
9,31.3163,0.42908,3.03067,0.212158,2.99263,0.870655,2.53948,0,0.508753,0.274618,0.725382,17.9186,0.032478,0.664262,80.9126,2.64142,1.85429,264
10,32.7783,0.291452,3.83714,0.254599,3.81758,0.870304,2.40623,0,0.453632,0.270802,0.729198,15.176,0.0332427,0.650308,84.2116,2.69273,1.93156,218
11,24.41,0.0465959,1.4044,0.222545,1.38587,0.876896,2.11709,0,0.523871,0.172362,0.827638,10.6775,0.0434307,0.797879,80.6829,4.80173,1.56181,202
12,22.6556,0.294468,2.62159,0.220587,2.59565,0.876697,0.920107,0,0.233049,0.268825,0.731175,10.8557,0.0442314,0.512692,81.9322,2.71989,1.83319,216
13,17.4055,0.0789917,3.96025,0.316395,3.9468,0.85962,1.25692,0,0.436943,0.344156,0.655844,7.3568,0.0320048,0.325007,85.2766,1.90566,1.12505,301
14,31.4043,0.277178,2.23194,0.124649,2.21115,0.886313,1.74034,0,0.469823,0.18768,0.81232,8.3615,0.0396196,1.0935,82.1739,4.32823,1.94033,208
15,20.3447,0.0742347,3.97851,0.32755,3.96431,0.855379,2.3829,0,0.480161,0.3091,0.6909,13.3109,0.0462791,0.404402,85.1575,2.2352,2.20565,364
