Frame ID,Altitude [m],Baseline - x [m],Baseline - xyz [m],Baseline - y [m],Baseline - z [m],Coverage,Depth variation [m],Failure,Fraction estimated px,Fraction inliers (error <= 1%),Fraction outliers (error > 1%),Max abs. error [m],Mean G.T. relative error,Median abs. error [m],Motion angle [deg],Outliers / inliers,RMSE [m],Runtime [ms]
0,29.802,0.472419,3.65972,0.0917454,3.62794,0.875044,2.56504,0,0.600803,0.497924,0.502076,11.5254,0.017187,0.340192,82.4439,1.00834,1.097,247
1,30.6481,0.520468,4.08618,0.070404,4.05229,0.868323,3.44638,0,0.581593,0.608626,0.391374,19.3982,0.0163104,0.274331,82.6152,0.643045,1.51456,362
2,28.0682,0.075625,1.74789,0.0169699,1.74617,0.88037,2.70879,0,0.616415,0.338399,0.661601,13.0865,0.0247674,0.478086,87.4585,1.95509,1.17691,214
3,19.0813,0.304209,3.25434,0.2345,3.23159,0.858689,1.91122,0,0.587035,0.737486,0.262514,15.9233,0.0131145,0.100982,83.2217,0.355958,0.889609,361
4,23.1122,0.412304,3.70119,0.106463,3.67661,0.872557,1.41454,0,0.634035,0.663485,0.336515,8.45695,0.010902,0.18017,83.3934,0.507194,0.536101,274
5,16.4638,0.347814,3.8174,0.447562,3.77509,0.856567,1.59417,0,0.534434,0.71717,0.28283,8.67237,0.0131295,0.107446,81.461,0.39437,0.702824,326
6,18.0712,0.13454,2.23138,0.0672483,2.2263,0.85495,1.64666,0,0.58148,0.571698,0.428302,12.4966,0.0157315,0.152834,86.1349,0.749176,0.68905,240
7,21.729,0.557724,3.80213,0.221733,3.75446,0.85607,0.962283,0,0.247424,0.563154,0.436846,13.2361,0.0803923,0.178487,80.9176,0.775715,3.27243,237
8,15.3166,0.495715,3.6444,0.33245,3.59519,0.85159,1.46283,0,0.436444,0.757881,0.242119,14.8212,0.0278411,0.0684307,80.5737,0.319468,1.39863,382
9,31.3163,0.42908,3.03067,0.212158,2.99263,0.870596,2.53948,0,0.611792,0.528655,0.471345,18.4874,0.0153153,0.30985,80.9126,0.891592,0.968886,263
10,32.7783,0.291452,3.83714,0.254599,3.81758,0.870136,2.40623,0,0.556643,0.51488,0.48512,15.2294,0.0163183,0.317119,84.2116,0.942201,1.09102,214
11,24.41,0.0465959,1.4044,0.222545,1.38587,0.876428,2.11709,0,0.628061,0.343257,0.656743,10.6828,0.0237205,0.401333,80.6829,1.91327,0.920748,191
12,22.6556,0.294468,2.62159,0.220587,2.59565,0.875631,0.920107,0,0.284276,0.558246,0.441754,10.9042,0.0258992,0.210018,81.9322,0.791326,1.52485,225
13,17.4055,0.0789917,3.96025,0.316395,3.9468,0.85938,1.25692,0,0.585183,0.72476,0.27524,7.46603,0.0103994,0.11256,85.2766,0.379766,0.487542,278
14,31.4043,0.277178,2.23194,0.124649,2.21115,0.88599,1.74034,0,0.604189,0.395079,0.604921,8.22146,0.0195146,0.492186,82.1739,1.53114,1.03386,207
