Altitude [m],5000,22.1302,7.12759,7.62909,15.8811,21.914,28.4497,35.9422
Baseline - x [m],5000,0.928216,0.819735,0.000202614,0.292411,0.674559,1.36035,2.96187
Baseline - xyz [m],5000,2.33956,1.01946,0.501587,1.46651,2.3598,3.2363,4.18525
Baseline - y [m],5000,0.940615,0.830879,6.62968e-05,0.292255,0.679405,1.36168,2.96503
Baseline - z [m],5000,1.51076,1.05929,0.000285192,0.61166,1.30937,2.30749,4.07355
Coverage,4994,0.868641,0.0369136,0.830682,0.863348,0.876279,0.885329,0.912428
Depth variation [m],5000,1.86387,0.805112,0.256731,1.23929,1.7241,2.39037,4.10538
Failure,5000,0.0012,0.0346237,0,0,0,0,0
Fraction estimated px,4994,0.58092,0.101914,0.413456,0.550849,0.608015,0.642685,0.744082
Fraction inliers (error <= 1%),4994,0.626319,0.20028,0.08052,0.49062,0.653474,0.779955,0.987734
Fraction outliers (error > 1%),4994,0.373681,0.20028,0.0122664,0.220045,0.346526,0.50938,0.91948
Max abs. error [m],4994,10.7225,4.02133,1.69217,7.68601,10.1955,13.2281,21.4354
Mean G.T. relative error,4994,0.0187051,0.0217162,0.00282517,0.011102,0.0144864,0.0196749,0.0325298
Median abs. error [m],4994,0.254302,0.345777,0.0211548,0.0883195,0.168906,0.294979,0.604699
Motion angle [deg],5000,44.5785,25.5917,0.016674,22.5973,44.2031,67.3203,89.7447
Outliers / inliers,4994,inf,-nan,0.0124187,0.282125,0.530282,1.03824,2.16578
RMSE [m],4994,0.957555,0.564031,0.0989756,0.571471,0.849537,1.18372,2.09998
Runtime [ms],4994,317.456,111.22,170,242,288,358,532
