Frame ID,Altitude [m],Baseline - x [m],Baseline - xyz [m],Baseline - y [m],Baseline - z [m],Coverage,Depth variation [m],Failure,Fraction estimated px,Fraction inliers (error <= 1%),Fraction outliers (error > 1%),Max abs. error [m],Mean G.T. relative error,Median abs. error [m],Motion angle [deg],Outliers / inliers,RMSE [m],Runtime [ms]
0,29.802,0.472419,3.65972,0.0917454,3.62794,0.822848,2.56504,0,0.428474,0.347885,0.652115,5.02877,0.0197955,0.511274,82.4439,1.87452,0.853554,411
1,30.6481,0.520468,4.08618,0.070404,4.05229,0.88312,3.44638,0,0.55865,0.556967,0.443033,4.21675,0.0129188,0.308578,82.6152,0.795438,0.621046,524
2,28.0682,0.075625,1.74789,0.0169699,1.74617,0.891153,2.70879,0,0.630264,0.22124,0.77876,5.75063,0.0278824,0.701102,87.4585,3.51998,1.0321,386
3,19.0813,0.304209,3.25434,0.2345,3.23159,0.855732,1.91122,0,0.545992,0.658272,0.341728,1.83816,0.0094374,0.123377,83.2217,0.519129,0.229236,465
4,23.1122,0.412304,3.70119,0.106463,3.67661,0.889097,1.41454,0,0.571149,0.508983,0.491017,3.64664,0.0136857,0.268008,83.3934,0.964701,0.497188,376
5,16.4638,0.347814,3.8174,0.447562,3.77509,0.861017,1.59417,0,0.555083,0.5414,0.4586,2.11974,0.0120169,0.1712,81.461,0.847062,0.297166,399
6,18.0712,0.13454,2.23138,0.0672483,2.2263,0.852654,1.64666,0,0.507614,0.502054,0.497946,1.98625,0.0131813,0.181433,86.1349,0.991817,0.313855,308
7,21.729,0.557724,3.80213,0.221733,3.75446,0.612474,0.962283,0,0.225151,0.652762,0.347238,8.08062,0.0134736,0.156268,80.9176,0.531953,0.783871,350
8,15.3166,0.495715,3.6444,0.33245,3.59519,0.814767,1.46283,0,0.411793,0.760648,0.239352,2.16107,0.00745134,0.071475,80.5737,0.314668,0.144793,411
9,31.3163,0.42908,3.03067,0.212158,2.99263,0.881966,2.53948,0,0.631289,0.439335,0.560665,4.57599,0.0152727,0.390226,80.9126,1.27617,0.664192,371
10,32.7783,0.291452,3.83714,0.254599,3.81758,0.866112,2.40623,0,0.66309,0.318381,0.681619,5.08576,0.0185274,0.503894,84.2116,2.14089,0.746233,353
11,24.41,0.0465959,1.4044,0.222545,1.38587,0.886126,2.11709,0,0.468753,0.401463,0.598537,3.28527,0.0164182,0.342349,80.6829,1.49089,0.549588,341
12,22.6556,0.294468,2.62159,0.220587,2.59565,0.780247,0.920107,0,0.532013,0.614298,0.385702,3.2351,0.0104751,0.181085,81.9322,0.627874,0.339672,350
13,17.4055,0.0789917,3.96025,0.316395,3.9468,0.871521,1.25692,0,0.699419,0.68107,0.31893,1.57744,0.00869522,0.141177,85.2766,0.468278,0.223285,348
14,31.4043,0.277178,2.23194,0.124649,2.21115,0.854941,1.74034,0,0.426407,0.324838,0.675162,5.41519,0.0209776,0.604425,82.1739,2.07845,1.00317,361
