Frame ID,Altitude [m],Baseline - x [m],Baseline - xyz [m],Baseline - y [m],Baseline - z [m],Coverage,Depth variation [m],Failure,Fraction estimated px,Fraction inliers (error <= 1%),Fraction outliers (error > 1%),Max abs. error [m],Mean G.T. relative error,Median abs. error [m],Motion angle [deg],Outliers / inliers,RMSE [m],Runtime [ms]
0,29.802,0.472419,3.65972,0.0917454,3.62794,0.8337,2.56504,0,0.460405,0.359472,0.640528,4.66685,0.0183989,0.485343,82.4439,1.78186,0.786013,380
1,30.6481,0.520468,4.08618,0.070404,4.05229,0.866272,3.44638,0,0.399518,0.440307,0.559693,6.69887,0.0168651,0.413221,82.6152,1.27114,0.791031,406
2,28.0682,0.075625,1.74789,0.0169699,1.74617,0.877825,2.70879,0,0.572792,0.272998,0.727002,4.74099,0.0249985,0.588435,87.4585,2.66303,0.952585,363
3,19.0813,0.304209,3.25434,0.2345,3.23159,0.869158,1.91122,0,0.660708,0.569013,0.430987,1.76665,0.0105514,0.157782,83.2217,0.757428,0.249616,468
4,23.1122,0.412304,3.70119,0.106463,3.67661,0.889581,1.41454,0,0.564731,0.427862,0.572138,3.17586,0.0156633,0.326895,83.3934,1.3372,0.554731,389
5,16.4638,0.347814,3.8174,0.447562,3.77509,0.857488,1.59417,0,0.492204,0.488991,0.511009,2.26009,0.0130865,0.192158,81.461,1.04503,0.316404,394
6,18.0712,0.13454,2.23138,0.0672483,2.2263,0.874866,1.64666,0,0.683078,0.425645,0.574355,2.20761,0.0163862,0.224222,86.1349,1.34938,0.390216,311
7,21.729,0.557724,3.80213,0.221733,3.75446,0.330019,0.962283,0,0.205729,0.493175,0.506825,2.78153,0.0124683,0.227595,80.9176,1.02768,0.350959,397
8,15.3166,0.495715,3.6444,0.33245,3.59519,0.842699,1.46283,0,0.418507,0.629199,0.370801,2.38447,0.0104778,0.101781,80.5737,0.589323,0.202425,412
9,31.3163,0.42908,3.03067,0.212158,2.99263,0.885203,2.53948,0,0.679333,0.358061,0.641939,4.78037,0.0181626,0.477241,80.9126,1.79282,0.768189,354
10,32.7783,0.291452,3.83714,0.254599,3.81758,0.881084,2.40623,0,0.669627,0.342268,0.657732,4.68369,0.0179635,0.483059,84.2116,1.92169,0.728337,318
11,24.41,0.0465959,1.4044,0.222545,1.38587,0.888959,2.11709,0,0.637038,0.228757,0.771243,3.58475,0.0245533,0.550098,80.6829,3.37145,0.766493,334
12,22.6556,0.294468,2.62159,0.220587,2.59565,0.885475,0.920107,0,0.614017,0.345622,0.654378,3.38147,0.0189036,0.353431,81.9322,1.89333,0.566373,352
13,17.4055,0.0789917,3.96025,0.316395,3.9468,0.872522,1.25692,0,0.65399,0.539135,0.460865,2.10969,0.0118498,0.188022,85.2766,0.854824,0.317325,343
14,31.4043,0.277178,2.23194,0.124649,2.21115,0.903978,1.74034,0,0.493172,0.29614,0.70386,5.13215,0.0225885,0.676103,82.1739,2.37678,1.07532,342
15,20.3447,0.0742347,3.97851,0.32755,3.96431,0.734437,2.3829,0,0.364636,0.431716,0.568284,2.41315,0.0141583,0.26351,85.1575,1.31634,0.395251,497
