Altitude [m],5000,22.1302,7.12759,7.62909,15.8811,21.914,28.4497,35.9422
Baseline - x [m],5000,0.928216,0.819735,0.000202614,0.292411,0.674559,1.36035,2.96187
Baseline - xyz [m],5000,2.33956,1.01946,0.501587,1.46651,2.3598,3.2363,4.18525
Baseline - y [m],5000,0.940615,0.830879,6.62968e-05,0.292255,0.679405,1.36168,2.96503
Baseline - z [m],5000,1.51076,1.05929,0.000285192,0.61166,1.30937,2.30749,4.07355
Coverage,4912,0.842458,0.0920434,0.744067,0.833471,0.876046,0.893205,0.92672
Depth variation [m],5000,1.86387,0.805112,0.256731,1.23929,1.7241,2.39037,4.10538
Failure,5000,0.0176,0.131506,0,0,0,0,0
Fraction estimated px,4912,0.506779,0.167099,0.0502813,0.400512,0.528261,0.63622,0.863456
Fraction inliers (error <= 1%),4912,0.483118,0.20881,0.049063,0.325833,0.456089,0.617812,0.995691
Fraction outliers (error > 1%),4912,0.516882,0.20881,0.0043094,0.382188,0.543911,0.674167,0.950937
Max abs. error [m],4912,3.55788,1.8564,0.387657,2.13183,3.2615,4.77636,8.73481
Mean G.T. relative error,4912,0.0158683,0.0084518,0.00173761,0.00986802,0.0142784,0.0197664,0.0345834
Median abs. error [m],4912,0.344236,0.278335,0.0161972,0.147867,0.266864,0.451672,0.904899
Motion angle [deg],5000,44.5785,25.5917,0.016674,22.5973,44.2031,67.3203,89.7447
Outliers / inliers,4912,1.61435,1.58697,0.00432805,0.618614,1.19255,2.06906,4.24393
RMSE [m],4912,0.558452,0.394801,0.0296395,0.26319,0.459289,0.756358,1.49552
Runtime [ms],4912,394.476,57.9593,270,358,384,419,510
