Frame ID,Altitude [m],Baseline - x [m],Baseline - xyz [m],Baseline - y [m],Baseline - z [m],Coverage,Depth variation [m],Failure,Fraction estimated px,Fraction inliers (error <= 1%),Fraction outliers (error > 1%),Max abs. error [m],Mean G.T. relative error,Median abs. error [m],Motion angle [deg],Outliers / inliers,RMSE [m],Runtime [ms]
0,32.3135,0.818955,3.52661,3.39571,0.485209,0.89328,2.49554,0,0.751445,0.955395,0.0446048,5.26277,0.0035629,0.0961406,7.90814,0.0466872,0.208399,386
1,15.1329,0.482618,0.564946,0.293583,0.00732513,0.911385,1.40021,0,0.811111,0.755731,0.244269,1.92488,0.00718827,0.0997516,0.742921,0.323221,0.178074,440
2,22.7363,3.32791,3.46691,0.8825,0.407051,0.841718,2.09307,0,0.670198,0.987043,0.0129573,2.99162,0.00234056,0.0411762,6.74267,0.0131274,0.112625,396
3,30.5609,3.36016,3.4865,0.877877,0.307205,0.891508,2.68201,0,0.746083,0.962076,0.0379239,3.35566,0.00327861,0.0799707,5.05504,0.0394189,0.178192,410
4,32.6884,3.03717,3.67925,2.06386,0.230162,0.888807,1.23929,0,0.756696,0.956928,0.0430718,1.7524,0.00345825,0.0975676,3.58658,0.0450105,0.180263,319
5,11.3532,0.771654,2.77493,2.64204,0.352708,0.639819,2.37273,0,0.480761,0.999144,0.00085642,0.50576,0.00203835,0.0209464,7.30235,0.000857154,0.0271393,980
6,12.7528,1.17175,2.82371,2.55734,0.245688,0.82359,1.7864,0,0.646355,0.99313,0.00687032,0.536771,0.0022637,0.02646,4.99155,0.00691785,0.0437389,567
7,18.0353,0.635155,0.895547,0.629457,0.0486566,0.907069,1.06989,0,0.877773,0.792264,0.207736,2.59189,0.00653436,0.109231,3.11451,0.262205,0.191553,377
8,30.1173,1.15359,1.15986,0.00364801,0.120324,0.900362,2.72648,0,0.77438,0.671133,0.328867,5.74827,0.00883795,0.226567,5.95461,0.490017,0.435786,409
9,11.8354,2.52472,3.23703,2.01351,0.223469,0.853244,0.868489,0,0.749901,0.985796,0.0142039,1.4321,0.00219325,0.0224898,3.95856,0.0144085,0.0534821,442
