Frame ID,Altitude [m],Baseline - x [m],Baseline - xyz [m],Baseline - y [m],Baseline - z [m],Coverage,Depth variation [m],Failure,Fraction estimated px,Fraction inliers (error <= 1%),Fraction outliers (error > 1%),Max abs. error [m],Mean G.T. relative error,Median abs. error [m],Motion angle [deg],Outliers / inliers,RMSE [m],Runtime [ms]
0,29.802,0.472419,3.65972,0.0917454,3.62794,-1,2.56504,1,-1,-1,-1,-1,-1,-1,82.4439,-1,-1,53
1,30.6481,0.520468,4.08618,0.070404,4.05229,0.912169,3.44638,0,0.588013,0.452581,0.547419,12.3944,0.0153957,0.463654,82.6152,1.20955,0.859112,807
2,28.0682,0.075625,1.74789,0.0169699,1.74617,-1,2.70879,1,-1,-1,-1,-1,-1,-1,87.4585,-1,-1,33
3,19.0813,0.304209,3.25434,0.2345,3.23159,0.933886,1.91122,0,0.641437,0.426826,0.573174,8.71919,0.0151643,0.262717,83.2217,1.34287,0.435695,577
4,23.1122,0.412304,3.70119,0.106463,3.67661,-1,1.41454,1,-1,-1,-1,-1,-1,-1,83.3934,-1,-1,555
5,16.4638,0.347814,3.8174,0.447562,3.77509,-1,1.59417,1,-1,-1,-1,-1,-1,-1,81.461,-1,-1,12
6,18.0712,0.13454,2.23138,0.0672483,2.2263,-1,1.64666,1,-1,-1,-1,-1,-1,-1,86.1349,-1,-1,13
7,21.729,0.557724,3.80213,0.221733,3.75446,-1,0.962283,1,-1,-1,-1,-1,-1,-1,80.9176,-1,-1,813
8,15.3166,0.495715,3.6444,0.33245,3.59519,-1,1.46283,1,-1,-1,-1,-1,-1,-1,80.5737,-1,-1,811
9,31.3163,0.42908,3.03067,0.212158,2.99263,0.915564,2.53948,0,0.497947,0.429719,0.570281,14.2924,0.0181173,0.426622,80.9126,1.3271,0.924453,570
10,32.7783,0.291452,3.83714,0.254599,3.81758,-1,2.40623,1,-1,-1,-1,-1,-1,-1,84.2116,-1,-1,32
11,24.41,0.0465959,1.4044,0.222545,1.38587,-1,2.11709,1,-1,-1,-1,-1,-1,-1,80.6829,-1,-1,11
12,22.6556,0.294468,2.62159,0.220587,2.59565,0.936502,0.920107,0,0.753491,0.325109,0.674891,13.3979,0.0180875,0.394645,81.9322,2.07589,0.603297,755
13,17.4055,0.0789917,3.96025,0.316395,3.9468,-1,1.25692,1,-1,-1,-1,-1,-1,-1,85.2766,-1,-1,1005
14,31.4043,0.277178,2.23194,0.124649,2.21115,0.855149,1.74034,0,0.404068,0.370793,0.629207,25.7806,0.0236372,0.570116,82.1739,1.69692,1.38883,816
15,20.3447,0.0742347,3.97851,0.32755,3.96431,-1,2.3829,1,-1,-1,-1,-1,-1,-1,85.1575,-1,-1,19
16,32.9659,0.18612,4.06505,0.410242,4.04001,0.937056,2.83676,0,0.543791,0.411613,0.588387,18.8302,0.0182697,0.482054,83.6374,1.42947,0.974796,546
17,30.6674,0.248668,2.53584,0.035951,2.52337,0.936186,3.04014,0,0.583486,0.326348,0.673652,42.1635,0.0231372,0.658988,84.3138,2.06421,1.32463,614
18,12.3373,0.192017,4.06652,0.373529,4.04477,-1,0.712577,1,-1,-1,-1,-1,-1,-1,84.0719,-1,-1,22
19,17.2974,0.410134,3.71403,0.0842175,3.69036,-1,2.72751,1,-1,-1,-1,-1,-1,-1,83.5271,-1,-1,10
20,10.6703,0.128267,3.84061,0.173243,3.83455,-1,1.20926,1,-1,-1,-1,-1,-1,-1,86.7825,-1,-1,11
21,16.5174,0.331381,4.0881,0.0944874,4.07355,-1,0.732467,1,-1,-1,-1,-1,-1,-1,85.1648,-1,-1,643
22,16.3647,0.303056,3.48518,0.294271,3.45949,-1,2.13969,1,-1,-1,-1,-1,-1,-1,83.0384,-1,-1,11
23,19.9534,0.396958,2.59569,0.0813528,2.56387,0.866953,1.46255,0,0.352702,0.555856,0.444144,8.67029,0.0125891,0.20255,81.0189,0.799027,0.411624,593
24,33.3095,0.158049,3.25899,0.179232,3.25022,-1,4.36985,1,-1,-1,-1,-1,-1,-1,85.795,-1,-1,22
25,32.589,0.230624,2.183,0.283199,2.15223,-1,2.8765,1,-1,-1,-1,-1,-1,-1,80.3689,-1,-1,10
26,32.6775,0.324472,3.84737,0.266905,3.82436,0.862273,1.93596,0,0.417856,0.459751,0.540249,21.8948,0.0168369,0.42239,83.7306,1.17509,0.922652,1147
27,32.0028,0.559588,3.9721,0.168866,3.92886,-1,3.73743,1,-1,-1,-1,-1,-1,-1,81.5379,-1,-1,1057
28,14.4961,0.154834,3.58693,0.385361,3.56281,-1,1.0988,1,-1,-1,-1,-1,-1,-1,83.3513,-1,-1,906
29,11.2446,0.0316364,3.80405,0.280231,3.79358,-1,1.55982,1,-1,-1,-1,-1,-1,-1,85.7485,-1,-1,10
30,22.5533,0.11124,1.78665,0.0970524,1.78054,0.919434,2.21542,0,0.642245,0.435839,0.564161,22.5815,0.0186658,0.304904,85.2604,1.29442,0.72228,785
31,27.3372,0.45515,2.93766,0.0976226,2.90054,0.926031,3.07604,0,0.594314,0.317312,0.682688,28.0139,0.0203395,0.520195,80.8825,2.15147,0.98809,1121
32,14.022,0.0347533,0.84675,0.0863908,0.841614,0.932907,0.910323,0,0.804137,0.45803,0.54197,14.5888,0.0180148,0.188956,83.6863,1.18326,0.49107,689
33,29.7174,0.31904,3.67529,0.251477,3.65277,0.884096,2.80715,0,0.325025,0.564778,0.435222,26.4956,0.0138218,0.336048,83.654,0.770608,0.912552,503
34,14.2724,0.586519,4.06856,0.223251,4.01986,0.835991,1.35991,0,0.530025,0.457661,0.542339,3.76484,0.0127484,0.232661,81.1268,1.18502,0.32583,675
35,29.0419,0.048878,3.00497,0.0678073,3.0038,-1,2.07685,1,-1,-1,-1,-1,-1,-1,88.406,-1,-1,22
36,12.7315,0.0599644,3.80483,0.140348,3.80177,-1,1.03609,1,-1,-1,-1,-1,-1,-1,87.7011,-1,-1,848
37,32.4642,0.0793583,0.798877,0.0235797,0.794576,0.90784,3.50152,0,0.556172,0.150779,0.849221,30.4188,0.0518559,1.36478,84.0518,5.6322,2.64801,1062
38,19.4569,0.0192742,1.5469,0.217971,1.53134,-1,1.2314,1,-1,-1,-1,-1,-1,-1,81.8678,-1,-1,11
39,18.3115,0.336633,3.63856,0.427657,3.59762,-1,0.952632,1,-1,-1,-1,-1,-1,-1,81.3974,-1,-1,713
40,10.3135,0.2038,2.78452,0.120187,2.77445,-1,0.77539,1,-1,-1,-1,-1,-1,-1,85.1257,-1,-1,428
41,25.4245,0.531149,3.98285,0.054857,3.9469,0.9354,1.69623,0,0.513595,0.516085,0.483915,7.71341,0.0129793,0.296152,82.2953,0.937666,0.521947,625
42,11.7504,0.100062,1.6513,0.151465,1.6413,0.820187,0.93131,0,0.506219,0.394004,0.605996,9.72067,0.0211022,0.216231,83.6886,1.53804,0.478137,897
43,11.7259,0.462436,3.11678,0.0828892,3.08117,-1,1.13868,1,-1,-1,-1,-1,-1,-1,81.3305,-1,-1,11
44,26.6462,0.173752,3.19961,0.279997,3.1826,0.94038,3.20518,0,0.555031,0.450395,0.549605,16.9783,0.0172273,0.410208,84.0886,1.22027,0.851555,625
