Frame ID,Altitude [m],Baseline - x [m],Baseline - xyz [m],Baseline - y [m],Baseline - z [m],Coverage,Depth variation [m],Failure,Fraction estimated px,Fraction inliers (error <= 1%),Fraction outliers (error > 1%),Max abs. error [m],Mean G.T. relative error,Median abs. error [m],Motion angle [deg],Outliers / inliers,RMSE [m],Runtime [ms]
0,29.802,0.472419,3.65972,0.0917454,3.62794,-1,2.56504,1,-1,-1,-1,-1,-1,-1,82.4439,-1,-1,21
1,30.6481,0.520468,4.08618,0.070404,4.05229,0.918438,3.44638,0,0.480321,0.431521,0.568479,18.516,0.0166364,0.498408,82.6152,1.31739,0.963387,797
2,28.0682,0.075625,1.74789,0.0169699,1.74617,-1,2.70879,1,-1,-1,-1,-1,-1,-1,87.4585,-1,-1,26
3,19.0813,0.304209,3.25434,0.2345,3.23159,0.934013,1.91122,0,0.629284,0.271859,0.728141,5.85308,0.018966,0.365405,83.2217,2.67838,0.510534,619
4,23.1122,0.412304,3.70119,0.106463,3.67661,0.934945,1.41454,0,0.458676,0.587673,0.412327,12.862,0.0125896,0.2505,83.3934,0.701628,0.585597,539
5,16.4638,0.347814,3.8174,0.447562,3.77509,-1,1.59417,1,-1,-1,-1,-1,-1,-1,81.461,-1,-1,12
6,18.0712,0.13454,2.23138,0.0672483,2.2263,-1,1.64666,1,-1,-1,-1,-1,-1,-1,86.1349,-1,-1,11
7,21.729,0.557724,3.80213,0.221733,3.75446,-1,0.962283,1,-1,-1,-1,-1,-1,-1,80.9176,-1,-1,755
8,15.3166,0.495715,3.6444,0.33245,3.59519,-1,1.46283,1,-1,-1,-1,-1,-1,-1,80.5737,-1,-1,808
9,31.3163,0.42908,3.03067,0.212158,2.99263,0.940255,2.53948,0,0.730606,0.331421,0.668579,15.9964,0.0219989,0.610089,80.9126,2.01731,1.06916,578
10,32.7783,0.291452,3.83714,0.254599,3.81758,-1,2.40623,1,-1,-1,-1,-1,-1,-1,84.2116,-1,-1,11
11,24.41,0.0465959,1.4044,0.222545,1.38587,-1,2.11709,1,-1,-1,-1,-1,-1,-1,80.6829,-1,-1,11
12,22.6556,0.294468,2.62159,0.220587,2.59565,0.929872,0.920107,0,0.553587,0.403432,0.596568,33.7042,0.0183696,0.3407,81.9322,1.47873,0.742332,733
13,17.4055,0.0789917,3.96025,0.316395,3.9468,-1,1.25692,1,-1,-1,-1,-1,-1,-1,85.2766,-1,-1,1008
14,31.4043,0.277178,2.23194,0.124649,2.21115,0.814966,1.74034,0,0.403979,0.337559,0.662441,31.8107,0.0241216,0.610659,82.1739,1.96245,1.38858,798
15,20.3447,0.0742347,3.97851,0.32755,3.96431,-1,2.3829,1,-1,-1,-1,-1,-1,-1,85.1575,-1,-1,14
16,32.9659,0.18612,4.06505,0.410242,4.04001,0.856143,2.83676,0,0.375868,0.284336,0.715664,14.1561,0.0241476,0.716594,83.6374,2.51697,1.20176,526
17,30.6674,0.248668,2.53584,0.035951,2.52337,0.859385,3.04014,0,0.309783,0.405957,0.594043,21.0625,0.0212371,0.531275,84.3138,1.46331,1.2332,577
18,12.3373,0.192017,4.06652,0.373529,4.04477,-1,0.712577,1,-1,-1,-1,-1,-1,-1,84.0719,-1,-1,11
19,17.2974,0.410134,3.71403,0.0842175,3.69036,-1,2.72751,1,-1,-1,-1,-1,-1,-1,83.5271,-1,-1,10
20,10.6703,0.128267,3.84061,0.173243,3.83455,-1,1.20926,1,-1,-1,-1,-1,-1,-1,86.7825,-1,-1,11
