Frame ID,Altitude [m],Baseline - x [m],Baseline - xyz [m],Baseline - y [m],Baseline - z [m],Coverage,Depth variation [m],Failure,Fraction estimated px,Fraction inliers (error <= 1%),Fraction outliers (error > 1%),Max abs. error [m],Mean G.T. relative error,Median abs. error [m],Motion angle [deg],Outliers / inliers,RMSE [m],Runtime [ms]
0,29.802,0.472419,3.65972,0.0917454,3.62794,-1,2.56504,1,-1,-1,-1,-1,-1,-1,82.4439,-1,-1,67
1,30.6481,0.520468,4.08618,0.070404,4.05229,0.935056,3.44638,0,0.836619,0.539586,0.460414,8.97968,0.0125459,0.385025,82.6152,0.853271,0.657927,885
2,28.0682,0.075625,1.74789,0.0169699,1.74617,-1,2.70879,1,-1,-1,-1,-1,-1,-1,87.4585,-1,-1,35
3,19.0813,0.304209,3.25434,0.2345,3.23159,0.935537,1.91122,0,0.790549,0.517056,0.482944,3.87745,0.0127935,0.214061,83.2217,0.934028,0.352761,609
4,23.1122,0.412304,3.70119,0.106463,3.67661,0.936273,1.41454,0,0.812023,0.505518,0.494482,6.23233,0.0131226,0.309749,83.3934,0.978167,0.520536,599
5,16.4638,0.347814,3.8174,0.447562,3.77509,-1,1.59417,1,-1,-1,-1,-1,-1,-1,81.461,-1,-1,37
6,18.0712,0.13454,2.23138,0.0672483,2.2263,-1,1.64666,1,-1,-1,-1,-1,-1,-1,86.1349,-1,-1,11
7,21.729,0.557724,3.80213,0.221733,3.75446,0.938304,0.962283,0,0.790863,0.468504,0.531496,4.51915,0.0133221,0.274468,80.9176,1.13445,0.428782,841
8,15.3166,0.495715,3.6444,0.33245,3.59519,0.81795,1.46283,0,0.482623,0.59804,0.40196,3.49432,0.0109788,0.154695,80.5737,0.672128,0.274774,751
9,31.3163,0.42908,3.03067,0.212158,2.99263,0.940753,2.53948,0,0.857917,0.462951,0.537049,9.39035,0.0140209,0.39146,80.9126,1.16006,0.662398,547
10,32.7783,0.291452,3.83714,0.254599,3.81758,-1,2.40623,1,-1,-1,-1,-1,-1,-1,84.2116,-1,-1,23
11,24.41,0.0465959,1.4044,0.222545,1.38587,-1,2.11709,1,-1,-1,-1,-1,-1,-1,80.6829,-1,-1,12
12,22.6556,0.294468,2.62159,0.220587,2.59565,0.936619,0.920107,0,0.835204,0.468285,0.531715,17.3865,0.013315,0.282979,81.9322,1.13545,0.456136,686
13,17.4055,0.0789917,3.96025,0.316395,3.9468,0.917449,1.25692,0,0.715514,0.46046,0.53954,10.8919,0.0140117,0.26718,85.2766,1.17174,0.436463,983
14,31.4043,0.277178,2.23194,0.124649,2.21115,0.931103,1.74034,0,0.816494,0.43107,0.56893,18.5556,0.0161725,0.457716,82.1739,1.31981,0.878775,823
15,20.3447,0.0742347,3.97851,0.32755,3.96431,-1,2.3829,1,-1,-1,-1,-1,-1,-1,85.1575,-1,-1,25
16,32.9659,0.18612,4.06505,0.410242,4.04001,0.939724,2.83676,0,0.832151,0.46516,0.53484,8.50868,0.0138238,0.415215,83.6374,1.1498,0.681692,516
17,30.6674,0.248668,2.53584,0.035951,2.52337,0.936586,3.04014,0,0.851143,0.471404,0.528596,15.4566,0.0142486,0.422693,84.3138,1.12132,0.740898,626
18,12.3373,0.192017,4.06652,0.373529,4.04477,-1,0.712577,1,-1,-1,-1,-1,-1,-1,84.0719,-1,-1,22
19,17.2974,0.410134,3.71403,0.0842175,3.69036,-1,2.72751,1,-1,-1,-1,-1,-1,-1,83.5271,-1,-1,12
20,10.6703,0.128267,3.84061,0.173243,3.83455,-1,1.20926,1,-1,-1,-1,-1,-1,-1,86.7825,-1,-1,11
21,16.5174,0.331381,4.0881,0.0944874,4.07355,0.923797,0.732467,0,0.365457,0.451779,0.548221,3.42106,0.0138419,0.218416,85.1648,1.21347,0.348393,686
22,16.3647,0.303056,3.48518,0.294271,3.45949,-1,2.13969,1,-1,-1,-1,-1,-1,-1,83.0384,-1,-1,11
23,19.9534,0.396958,2.59569,0.0813528,2.56387,0.938295,1.46255,0,0.842441,0.497592,0.502408,6.57925,0.0129312,0.230966,81.0189,1.00968,0.381457,669
24,33.3095,0.158049,3.25899,0.179232,3.25022,-1,4.36985,1,-1,-1,-1,-1,-1,-1,85.795,-1,-1,22
25,32.589,0.230624,2.183,0.283199,2.15223,-1,2.8765,1,-1,-1,-1,-1,-1,-1,80.3689,-1,-1,11
26,32.6775,0.324472,3.84737,0.266905,3.82436,0.935317,1.93596,0,0.743891,0.424627,0.575373,10.3646,0.0152523,0.436967,83.7306,1.35501,0.748315,1163
27,32.0028,0.559588,3.9721,0.168866,3.92886,0.937691,3.73743,0,0.737151,0.444532,0.555468,10.0602,0.0143946,0.388322,81.5379,1.24955,0.649804,1104
28,14.4961,0.154834,3.58693,0.385361,3.56281,-1,1.0988,1,-1,-1,-1,-1,-1,-1,83.3513,-1,-1,848
29,11.2446,0.0316364,3.80405,0.280231,3.79358,-1,1.55982,1,-1,-1,-1,-1,-1,-1,85.7485,-1,-1,10
30,22.5533,0.11124,1.78665,0.0970524,1.78054,0.930946,2.21542,0,0.840085,0.448134,0.551866,7.64146,0.0141225,0.287474,85.2604,1.23148,0.465479,821
31,27.3372,0.45515,2.93766,0.0976226,2.90054,0.929257,3.07604,0,0.774513,0.415555,0.584445,8.98627,0.0149786,0.402178,80.8825,1.40642,0.653793,1110
32,14.022,0.0347533,0.84675,0.0863908,0.841614,0.933068,0.910323,0,0.870148,0.450918,0.549082,5.37202,0.0148767,0.186495,83.6863,1.2177,0.333492,705
33,29.7174,0.31904,3.67529,0.251477,3.65277,0.94119,2.80715,0,0.844509,0.494289,0.505711,12.4916,0.0134075,0.396837,83.654,1.02311,0.682065,604
34,14.2724,0.586519,4.06856,0.223251,4.01986,0.872458,1.35991,0,0.648406,0.632495,0.367505,2.87644,0.0101733,0.156633,81.1268,0.581039,0.280535,710
35,29.0419,0.048878,3.00497,0.0678073,3.0038,-1,2.07685,1,-1,-1,-1,-1,-1,-1,88.406,-1,-1,16
36,12.7315,0.0599644,3.80483,0.140348,3.80177,0.891773,1.03609,0,0.521617,0.561472,0.438528,4.13578,0.0116463,0.171079,87.7011,0.781033,0.282787,996
37,32.4642,0.0793583,0.798877,0.0235797,0.794576,0.929508,3.50152,0,0.768854,0.242093,0.757907,18.9493,0.0317046,0.854591,84.0518,3.13065,1.61818,1144
38,19.4569,0.0192742,1.5469,0.217971,1.53134,-1,1.2314,1,-1,-1,-1,-1,-1,-1,81.8678,-1,-1,12
39,18.3115,0.336633,3.63856,0.427657,3.59762,0.935879,0.952632,0,0.831282,0.479351,0.520649,5.01596,0.0133516,0.261223,81.3974,1.08616,0.435659,554
40,10.3135,0.2038,2.78452,0.120187,2.77445,0.951732,0.77539,0,0.732406,0.517886,0.482114,2.03833,0.0120706,0.148992,85.1257,0.930927,0.228907,496
41,25.4245,0.531149,3.98285,0.054857,3.9469,0.936506,1.69623,0,0.805785,0.551508,0.448492,4.99007,0.0121886,0.27401,82.2953,0.81321,0.458335,667
42,11.7504,0.100062,1.6513,0.151465,1.6413,0.932958,0.93131,0,0.841529,0.476084,0.523916,2.57434,0.0135835,0.163148,83.6886,1.10047,0.26112,912
43,11.7259,0.462436,3.11678,0.0828892,3.08117,-1,1.13868,1,-1,-1,-1,-1,-1,-1,81.3305,-1,-1,22
44,26.6462,0.173752,3.19961,0.279997,3.1826,0.940605,3.20518,0,0.85025,0.521646,0.478354,8.12111,0.0124782,0.343815,84.0886,0.917009,0.540606,632
45,21.3114,0.0649107,1.52007,0.226506,1.5017,-1,1.92893,1,-1,-1,-1,-1,-1,-1,81.0828,-1,-1,11
46,13.9814,0.206549,1.4723,0.0607155,1.45648,0.934581,1.41533,0,0.853232,0.49953,0.50047,3.47507,0.0127296,0.158863,81.5918,1.00188,0.255022,689
