Altitude [m],5000,22.1302,7.12759,7.62909,15.8811,21.914,28.4497,35.9422
Baseline - x [m],5000,0.928216,0.819735,0.000202614,0.292411,0.674559,1.36035,2.96187
Baseline - xyz [m],5000,2.33956,1.01946,0.501587,1.46651,2.3598,3.2363,4.18525
Baseline - y [m],5000,0.940615,0.830879,6.62968e-05,0.292255,0.679405,1.36168,2.96503
Baseline - z [m],5000,1.51076,1.05929,0.000285192,0.61166,1.30937,2.30749,4.07355
Coverage,3409,0.930404,0.0137556,0.918703,0.928326,0.932001,0.934755,0.944397
Depth variation [m],5000,1.86387,0.805112,0.256731,1.23929,1.7241,2.39037,4.10538
Failure,5000,0.3182,0.465824,0,0,0,1,1
Fraction estimated px,3409,0.83855,0.0606366,0.739003,0.819608,0.850498,0.873878,0.919781
Fraction inliers (error <= 1%),3409,0.709852,0.204208,0.193277,0.518631,0.715786,0.913528,0.99961
Fraction outliers (error > 1%),3409,0.290148,0.204208,0.000390107,0.0864718,0.284214,0.481369,0.806723
Max abs. error [m],3409,6.60898,7.24964,0.186827,1.94876,3.91898,8.34928,17.9431
Mean G.T. relative error,3409,0.00924716,0.00523047,0.00143952,0.00488144,0.00836942,0.0128797,0.0247778
Median abs. error [m],3409,0.18968,0.130882,0.0143737,0.0931945,0.157615,0.260507,0.510813
Motion angle [deg],5000,44.5785,25.5917,0.016674,22.5973,44.2031,67.3203,89.7447
Outliers / inliers,3409,0.55226,0.526631,0.000390259,0.094657,0.397065,0.928152,2.12366
RMSE [m],3409,0.37394,0.380335,0.0256436,0.161707,0.283528,0.491666,0.98485
Runtime [ms],3409,593.666,246.225,153,407,530,758,1234
