Frame ID,Altitude [m],Baseline - x [m],Baseline - xyz [m],Baseline - y [m],Baseline - z [m],Coverage,Depth variation [m],Failure,Fraction estimated px,Fraction inliers (error <= 1%),Fraction outliers (error > 1%),Max abs. error [m],Mean G.T. relative error,Median abs. error [m],Motion angle [deg],Outliers / inliers,RMSE [m],Runtime [ms]
0,29.802,0.472419,3.65972,0.0917454,3.62794,-1,2.56504,1,-1,-1,-1,-1,-1,-1,82.4439,-1,-1,120
1,30.6481,0.520468,4.08618,0.070404,4.05229,0.0915968,3.44638,0,0.0583111,0.592215,0.407785,2.5717,0.0099108,0.31504,82.6152,0.688576,0.485383,112
2,28.0682,0.075625,1.74789,0.0169699,1.74617,-1,2.70879,1,-1,-1,-1,-1,-1,-1,87.4585,-1,-1,139
3,19.0813,0.304209,3.25434,0.2345,3.23159,-1,1.91122,1,-1,-1,-1,-1,-1,-1,83.2217,-1,-1,100
4,23.1122,0.412304,3.70119,0.106463,3.67661,-1,1.41454,1,-1,-1,-1,-1,-1,-1,83.3934,-1,-1,123
5,16.4638,0.347814,3.8174,0.447562,3.77509,-1,1.59417,1,-1,-1,-1,-1,-1,-1,81.461,-1,-1,81
6,18.0712,0.13454,2.23138,0.0672483,2.2263,-1,1.64666,1,-1,-1,-1,-1,-1,-1,86.1349,-1,-1,101
7,21.729,0.557724,3.80213,0.221733,3.75446,-1,0.962283,1,-1,-1,-1,-1,-1,-1,80.9176,-1,-1,104
8,15.3166,0.495715,3.6444,0.33245,3.59519,-1,1.46283,1,-1,-1,-1,-1,-1,-1,80.5737,-1,-1,99
9,31.3163,0.42908,3.03067,0.212158,2.99263,-1,2.53948,1,-1,-1,-1,-1,-1,-1,80.9126,-1,-1,100
10,32.7783,0.291452,3.83714,0.254599,3.81758,-1,2.40623,1,-1,-1,-1,-1,-1,-1,84.2116,-1,-1,107
11,24.41,0.0465959,1.4044,0.222545,1.38587,0.121671,2.11709,0,0.0753057,0.357261,0.642739,3.66266,0.0179611,0.376613,80.6829,1.79907,0.604577,98
12,22.6556,0.294468,2.62159,0.220587,2.59565,0.10495,0.920107,0,0.0820093,0.71857,0.28143,1.86359,0.00777431,0.161654,81.9322,0.391654,0.262657,98
13,17.4055,0.0789917,3.96025,0.316395,3.9468,-1,1.25692,1,-1,-1,-1,-1,-1,-1,85.2766,-1,-1,81
14,31.4043,0.277178,2.23194,0.124649,2.21115,-1,1.74034,1,-1,-1,-1,-1,-1,-1,82.1739,-1,-1,100
15,20.3447,0.0742347,3.97851,0.32755,3.96431,-1,2.3829,1,-1,-1,-1,-1,-1,-1,85.1575,-1,-1,98
16,32.9659,0.18612,4.06505,0.410242,4.04001,-1,2.83676,1,-1,-1,-1,-1,-1,-1,83.6374,-1,-1,92
17,30.6674,0.248668,2.53584,0.035951,2.52337,-1,3.04014,1,-1,-1,-1,-1,-1,-1,84.3138,-1,-1,108
18,12.3373,0.192017,4.06652,0.373529,4.04477,-1,0.712577,1,-1,-1,-1,-1,-1,-1,84.0719,-1,-1,122
19,17.2974,0.410134,3.71403,0.0842175,3.69036,-1,2.72751,1,-1,-1,-1,-1,-1,-1,83.5271,-1,-1,114
20,10.6703,0.128267,3.84061,0.173243,3.83455,-1,1.20926,1,-1,-1,-1,-1,-1,-1,86.7825,-1,-1,99
21,16.5174,0.331381,4.0881,0.0944874,4.07355,-1,0.732467,1,-1,-1,-1,-1,-1,-1,85.1648,-1,-1,114
22,16.3647,0.303056,3.48518,0.294271,3.45949,-1,2.13969,1,-1,-1,-1,-1,-1,-1,83.0384,-1,-1,128
23,19.9534,0.396958,2.59569,0.0813528,2.56387,-1,1.46255,1,-1,-1,-1,-1,-1,-1,81.0189,-1,-1,101
