Altitude [m],5000,22.1302,7.12759,7.62909,15.8811,21.914,28.4497,35.9422
Baseline - x [m],5000,0.928216,0.819735,0.000202614,0.292411,0.674559,1.36035,2.96187
Baseline - xyz [m],5000,2.33956,1.01946,0.501587,1.46651,2.3598,3.2363,4.18525
Baseline - y [m],5000,0.940615,0.830879,6.62968e-05,0.292255,0.679405,1.36168,2.96503
Baseline - z [m],5000,1.51076,1.05929,0.000285192,0.61166,1.30937,2.30749,4.07355
Coverage,2157,0.227149,0.14545,0.0577439,0.126454,0.174011,0.28051,0.509908
Depth variation [m],5000,1.86387,0.805112,0.256731,1.23929,1.7241,2.39037,4.10538
Failure,5000,0.5686,0.495321,0,0,1,1,1
Fraction estimated px,2157,0.156728,0.125584,0.05002,0.0799442,0.113191,0.173971,0.313694
Fraction inliers (error <= 1%),2157,0.529527,0.21681,0,0.364571,0.538778,0.691391,0.997752
Fraction outliers (error > 1%),2157,0.470473,0.21681,0.00224761,0.308609,0.461222,0.635429,1
Max abs. error [m],2157,11.3826,363.766,0.195999,1.35855,2.40301,4.05913,8.10317
Mean G.T. relative error,2157,0.0143784,0.0120211,0.00219344,0.00815205,0.0111947,0.0167749,0.0296246
Median abs. error [m],2157,0.312583,0.317014,0.017022,0.133048,0.224799,0.383855,0.755011
Motion angle [deg],5000,44.5785,25.5917,0.016674,22.5973,44.2031,67.3203,89.7447
Outliers / inliers,2157,inf,-nan,0.00225268,0.446359,0.85605,1.74296,3.66956
RMSE [m],2157,0.553532,2.88294,0.0319894,0.21057,0.358001,0.605446,1.18525
Runtime [ms],2157,103.484,13.9145,84,99,102,109,124
