Altitude [m],5000,22.1302,7.12759,7.62909,15.8811,21.914,28.4497,35.9422
Baseline - x [m],5000,0.928216,0.819735,0.000202614,0.292411,0.674559,1.36035,2.96187
Baseline - xyz [m],5000,2.33956,1.01946,0.501587,1.46651,2.3598,3.2363,4.18525
Baseline - y [m],5000,0.940615,0.830879,6.62968e-05,0.292255,0.679405,1.36168,2.96503
Baseline - z [m],5000,1.51076,1.05929,0.000285192,0.61166,1.30937,2.30749,4.07355
Coverage,2127,0.226715,0.145743,0.0682011,0.124014,0.173644,0.281017,0.515506
Depth variation [m],5000,1.86387,0.805112,0.256731,1.23929,1.7241,2.39037,4.10538
Failure,5000,0.5746,0.494453,0,0,1,1,1
Fraction estimated px,2127,0.154653,0.124525,0.0500033,0.0773995,0.112791,0.175927,0.323711
Fraction inliers (error <= 1%),2127,0.468881,0.22744,0,0.276872,0.475477,0.645672,0.995643
Fraction outliers (error > 1%),2127,0.531119,0.22744,0.00435736,0.354328,0.524523,0.723128,1
Max abs. error [m],2127,11.5059,360.253,0.230644,1.39685,2.48878,4.15565,8.25775
Mean G.T. relative error,2127,0.0163349,0.0121024,0.00211119,0.00895706,0.0124979,0.0197084,0.0357337
Median abs. error [m],2127,0.371197,0.352139,0.018623,0.150192,0.264276,0.46611,0.9392
Motion angle [deg],5000,44.5785,25.5917,0.016674,22.5973,44.2031,67.3203,89.7447
Outliers / inliers,2127,inf,-nan,0.00437643,0.548774,1.10315,2.61178,5.68948
RMSE [m],2127,0.597396,2.27732,0.0308327,0.231142,0.397842,0.680941,1.35334
Runtime [ms],2127,105.661,15.4052,80,99,103,112,131
